market,model,feature_set,seed,max_absolute_price_metric_delta,max_absolute_target_metric_delta,price_metric_tolerance,target_metric_tolerance,integrity_pass
bist100,naive_persistence,close,1,0.0,2.0688628032949907e-09,1e-08,1e-07,True
bist100,naive_persistence,close,7,0.0,2.0688628032949907e-09,1e-08,1e-07,True
bist100,naive_persistence,close,42,0.0,2.0688628032949907e-09,1e-08,1e-07,True
bist100,naive_persistence,close,123,0.0,2.0688628032949907e-09,1e-08,1e-07,True
bist100,naive_persistence,close,2026,0.0,2.0688628032949907e-09,1e-08,1e-07,True
bist100,naive_persistence,indicators,1,0.0,2.0688628032949907e-09,1e-08,1e-07,True
bist100,naive_persistence,indicators,7,0.0,2.0688628032949907e-09,1e-08,1e-07,True
bist100,naive_persistence,indicators,42,0.0,2.0688628032949907e-09,1e-08,1e-07,True
bist100,naive_persistence,indicators,123,0.0,2.0688628032949907e-09,1e-08,1e-07,True
bist100,naive_persistence,indicators,2026,0.0,2.0688628032949907e-09,1e-08,1e-07,True
sp500,naive_persistence,close,1,0.0,5.674157595170204e-09,1e-08,1e-07,True
sp500,naive_persistence,close,7,0.0,5.674157595170204e-09,1e-08,1e-07,True
sp500,naive_persistence,close,42,0.0,5.674157595170204e-09,1e-08,1e-07,True
sp500,naive_persistence,close,123,0.0,5.674157595170204e-09,1e-08,1e-07,True
sp500,naive_persistence,close,2026,0.0,5.674157595170204e-09,1e-08,1e-07,True
sp500,naive_persistence,indicators,1,0.0,5.674157595170204e-09,1e-08,1e-07,True
sp500,naive_persistence,indicators,7,0.0,5.674157595170204e-09,1e-08,1e-07,True
sp500,naive_persistence,indicators,42,0.0,5.674157595170204e-09,1e-08,1e-07,True
sp500,naive_persistence,indicators,123,0.0,5.674157595170204e-09,1e-08,1e-07,True
sp500,naive_persistence,indicators,2026,0.0,5.674157595170204e-09,1e-08,1e-07,True
wig20,naive_persistence,close,1,0.0,9.881230597641455e-09,1e-08,1e-07,True
wig20,naive_persistence,close,7,0.0,9.881230597641455e-09,1e-08,1e-07,True
wig20,naive_persistence,close,42,0.0,9.881230597641455e-09,1e-08,1e-07,True
wig20,naive_persistence,close,123,0.0,9.881230597641455e-09,1e-08,1e-07,True
wig20,naive_persistence,close,2026,0.0,9.881230597641455e-09,1e-08,1e-07,True
wig20,naive_persistence,indicators,1,0.0,9.881230597641455e-09,1e-08,1e-07,True
wig20,naive_persistence,indicators,7,0.0,9.881230597641455e-09,1e-08,1e-07,True
wig20,naive_persistence,indicators,42,0.0,9.881230597641455e-09,1e-08,1e-07,True
wig20,naive_persistence,indicators,123,0.0,9.881230597641455e-09,1e-08,1e-07,True
wig20,naive_persistence,indicators,2026,0.0,9.881230597641455e-09,1e-08,1e-07,True
