market,feature_set,model,fold,seeds_completed,price_rmse_mean,price_rmse_std,price_mae_mean,price_mae_std,rmse_mean,rmse_std,mae_mean,mae_std
canada_tsx,close,lstm_gru,0,3,328.1881124218923,52.97768194661965,299.5057630612924,48.45701049466195,0.016196038332869932,0.002624872811734493,0.014799704384985434,0.002408166910450941
canada_tsx,close,naive_persistence,0,1,335.7520139035904,,307.1947265625,,0.0165659149664707,,0.0151787865437199,
canada_tsx,close,dnfs,0,3,354.48472670816403,124.36396175215503,322.38379710408236,111.43025181359499,0.0175237086999426,0.006174363327297279,0.0159517573795789,0.005548030741448947
canada_tsx,close,cnn1d,0,3,469.00945618031466,324.42950433627936,417.36050365076926,276.5562420241246,0.0233564300406973,0.016385750844079894,0.0207845548995474,0.013962543217160511
canada_tsx,close,linear_regression,0,1,575.4856088072858,,508.7871959343436,,0.0285958373042465,,0.0252947927271368,
canada_tsx,close,linear_regression,1,1,243.80809069319872,,185.46533901311324,,0.0121608755162481,,0.0092533835997863,
canada_tsx,close,lstm_gru,1,3,251.51467388899405,36.24065279635187,215.18631741935852,16.08167625194963,0.0125536115015589,0.0018104784426560792,0.010729089563510466,0.0007969600753707181
canada_tsx,close,naive_persistence,1,1,281.095892475778,,229.4798828125,,0.0140359140470667,,0.0114378722924714,
canada_tsx,close,dnfs,1,3,287.499039866924,62.73944754361421,236.26601633802375,36.075801109645646,0.0143396545389628,0.003111557300018861,0.011769160408162,0.001780527274737361
canada_tsx,close,cnn1d,1,3,453.66387332429844,246.98790614914353,364.1812899013118,203.00421883130434,0.0229470970652571,0.012720319109947566,0.018388473719643333,0.010428013692419191
canada_tsx,close,linear_regression,2,1,258.24885299375984,,213.6623601729163,,0.0128537960531051,,0.0106500164228696,
canada_tsx,close,lstm_gru,2,3,368.0771095276584,19.561135189611704,288.7945500619665,12.417136092607665,0.018432098497204997,0.0009774737023043338,0.014407112804787967,0.0006151991755495392
canada_tsx,close,dnfs,2,3,395.04707109759767,43.78990508350413,310.09103022889116,31.31088866609135,0.01977023492216037,0.0021791843465341853,0.015458269617910166,0.0015475785322167093
canada_tsx,close,naive_persistence,2,1,418.22367072472497,,325.97509765625,,0.0209247546860194,,0.0162439777621287,
canada_tsx,close,cnn1d,2,3,431.4819248082825,266.94005567137765,338.7797530338715,194.361467282414,0.021378000102373163,0.013155890405199109,0.016789912435891233,0.00953151187573244
canada_tsx,close,linear_regression,3,1,270.8764286033811,,245.6649712339844,,0.0140932895459698,,0.0127706797823291,
canada_tsx,close,cnn1d,3,3,367.622084074022,81.20307221020258,312.7712115350491,54.93400940407677,0.019104189037543,0.004223376264035133,0.016227766728399498,0.0028373184176069062
canada_tsx,close,lstm_gru,3,3,386.73247831728685,29.2331667605237,322.1779976979481,23.35774753389992,0.020114031183660164,0.0015074981952849693,0.0167212400714574,0.0012005525234320001
canada_tsx,close,naive_persistence,3,1,427.3759876423905,,355.440625,,0.0222035699075983,,0.0184274530891173,
canada_tsx,close,dnfs,3,3,480.5139094822182,12.521929435083493,397.3088559909956,9.555401324437266,0.024917532308485767,0.0006380723333335715,0.0205653458425584,0.0004870244733074952
canada_tsx,close,dnfs,4,3,996.4340649488923,53.67347445203677,933.6275481786424,49.00671222647971,0.05127401853037627,0.0028396277412601066,0.048108395246092034,0.0025950011931978015
canada_tsx,close,naive_persistence,4,1,1020.137551799204,,955.09912109375,,0.0525252802235087,,0.0492432581973001,
canada_tsx,close,lstm_gru,4,3,1043.5543138810556,20.637473140992597,976.4466141076591,18.792443931456386,0.053767812965615065,0.0010954150598217758,0.050376603380982966,0.0009979993723563984
canada_tsx,close,cnn1d,4,3,1202.2477540847847,173.30670048202498,1120.605611631221,157.13149264021752,0.062275153781061056,0.009280652863440918,0.0581002453361828,0.008410916995271637
canada_tsx,close,linear_regression,4,1,1341.989072475709,,1262.5639704711816,,0.0697644826786451,,0.0656997430991087,
canada_tsx,close,dnfs,5,3,493.17679676528115,66.75834301491923,423.8558057079877,61.18428268425892,0.024175430785915834,0.0033275436520835947,0.02082748831317933,0.003048786554051294
canada_tsx,close,naive_persistence,5,1,525.3855037696574,,453.70576171875,,0.0257776063361102,,0.0223121753621857,
canada_tsx,close,lstm_gru,5,3,558.62868808995,20.77167831349166,483.7814831746504,18.723358703534903,0.027440014450493433,0.0010396100032058707,0.023815347331260835,0.0009364970133005721
canada_tsx,close,cnn1d,5,3,730.2111585069238,277.28490541063513,634.7501799874935,247.2354210526564,0.0361624556633633,0.013968120743655379,0.03147214104116723,0.01243654350907709
canada_tsx,close,linear_regression,5,1,852.3862886193157,,764.6006662077594,,0.0422795163954565,,0.037974089359369,
canada_tsx,close,naive_persistence,6,1,126.2500060038046,,98.5302734375,,0.0060381008870151,,0.0047050248337058,
canada_tsx,close,lstm_gru,6,3,130.12312659029817,29.502700271118805,104.21243376661313,25.145084661671834,0.0062186327530508005,0.0014033914076264022,0.004974344068039767,0.0011947542624851158
canada_tsx,close,dnfs,6,3,136.46482818030856,22.370470658205047,108.17599656357591,19.277815733403504,0.006522553108970167,0.0010628876463601277,0.005163137331542934,0.000915881121398943
canada_tsx,close,cnn1d,6,3,246.56753281935838,32.1377309441952,202.92708049702378,26.12725321571024,0.0118048419253268,0.0015699078529092807,0.0097073082910617,0.0012486142329081176
canada_tsx,close,linear_regression,6,1,305.3754942991875,,250.62016382700003,,0.014689268963975,,0.0120485250026318,
canada_tsx,close,naive_persistence,7,1,184.32769841410516,,144.76494140625,,0.0087733658629391,,0.0068734082561019,
canada_tsx,close,lstm_gru,7,3,192.14818133637152,6.88449864793802,148.07457579312754,7.321843083750353,0.009142360516311001,0.00032194105726814163,0.0070313039287542,0.00034785025943667405
canada_tsx,close,dnfs,7,3,194.53760495673097,11.979411114215312,147.36485157256058,3.966714390028718,0.009259813434330034,0.0005741798904386382,0.006997058533580167,0.00018819153878672762
canada_tsx,close,cnn1d,7,3,327.2645567441395,30.90807188185935,243.39043072604122,26.359278925647814,0.015591512096607668,0.0014902798659449238,0.011600705345036868,0.0012681554518269818
canada_tsx,close,linear_regression,7,1,341.5546252653039,,263.06311575204563,,0.016276912337617,,0.0125415891945072,
canada_tsx,close,dnfs,8,3,360.6100363958167,8.899908006392332,312.0072299339352,7.408445557180575,0.016637547358934766,0.0004149233020150924,0.014420225486676166,0.0003455029231630586
canada_tsx,close,naive_persistence,8,1,381.62568633351736,,329.540234375,,0.0176180915987009,,0.0152384425588545,
canada_tsx,close,lstm_gru,8,3,459.33773743171736,37.16935791380596,393.22749951810357,30.318502232088882,0.021257292142857733,0.0017449254563034087,0.018220592896733834,0.0014228965007670408
canada_tsx,close,linear_regression,8,1,618.2795707560331,,513.5508126282891,,0.0287587798197462,,0.0238962562973395,
canada_tsx,close,cnn1d,8,3,881.0076558008637,280.70812382826,746.6077559976553,237.90076044789834,0.041386864561607534,0.013504513856138569,0.035060996964399634,0.011416141819570664
canada_tsx,close,dnfs,9,3,210.9318022697029,1.3976222514710661,183.8539096745507,5.428136937696004,0.009587640149050367,6.987828839702375e-05,0.008359610797918133,0.00024801654399385896
canada_tsx,close,naive_persistence,9,1,211.5730438115845,,187.22509765625,,0.0096222710802897,,0.0085136288974541,
canada_tsx,close,lstm_gru,9,3,214.49504961962603,7.829306349825843,187.36523185631995,6.009276321374626,0.009754603228025432,0.0003647403476233777,0.0085194622361314,0.0002733116079741911
canada_tsx,close,cnn1d,9,3,235.33051916820705,39.64588472048138,196.64745256530833,27.045871817437742,0.010691644811493468,0.0018104767463293216,0.0089456778179176,0.001238995388169377
canada_tsx,close,linear_regression,9,1,343.83934959515403,,290.5075324013116,,0.0156783125831697,,0.0132643492491415,
canada_tsx,close,dnfs,10,3,226.1011640217872,53.22741768724063,195.54358013511205,42.47846145452295,0.010214489517153,0.002402181028314777,0.008843976383370767,0.001924570376819404
canada_tsx,close,lstm_gru,10,3,329.34716338987664,9.471007368433888,275.4918725176079,7.206126601250456,0.014897517976420832,0.000432168461701103,0.012478770726821667,0.00032909702547816237
canada_tsx,close,naive_persistence,10,1,344.3004540295007,,286.97001953125,,0.015580262000998,,0.0130032337747394,
canada_tsx,close,cnn1d,10,3,454.6036589607725,205.5612648092796,377.4186349616641,167.73090951048886,0.0206834552590654,0.009494978318031897,0.017183789840912202,0.0077425811263559675
canada_tsx,close,linear_regression,10,1,594.5754900722857,,497.1113575767389,,0.0271129293007888,,0.0226810133234957,
canada_tsx,close,linear_regression,11,1,183.96692456031164,,144.7170012598825,,0.0083988398557577,,0.0065840389858044,
canada_tsx,close,cnn1d,11,3,465.2319055312628,24.90617876350642,404.7508610032425,22.62996706905847,0.02104263115954243,0.001110570900564112,0.018263453085336966,0.0010090799082709257
canada_tsx,close,naive_persistence,11,1,498.0263097234271,,434.35419921875,,0.022503890959846,,0.0195826220136844,
canada_tsx,close,lstm_gru,11,3,529.271820543678,10.020543383869185,462.70652968181656,9.020738808355995,0.023892620664686465,0.0004450790854837514,0.020843404637338137,0.0004008879703257016
canada_tsx,close,dnfs,11,3,562.6715302164042,86.33717218883073,492.7317708084388,77.54291230778917,0.025367887147622666,0.003822183863382188,0.022171335023757732,0.003436168123729988
canada_tsx,close,dnfs,12,3,610.5973765555742,51.455850833152006,486.1302231216687,44.31097657322768,0.027543527993123432,0.0023722410163527284,0.022027433833226733,0.002041157933446922
canada_tsx,close,cnn1d,12,3,632.8950024329434,64.0157860944843,504.7894567082058,55.365907764705206,0.02857406114836113,0.0029549642720565895,0.0228891903718451,0.002553006781770922
canada_tsx,close,naive_persistence,12,1,676.5894321696603,,542.6392578125,,0.0305920092735115,,0.0246352555472071,
canada_tsx,close,lstm_gru,12,3,699.0396012739275,73.01033520986203,561.7207612021672,62.19537368468648,0.0316380429742003,0.0033917073240678514,0.025522769304367237,0.0028849357555751033
canada_tsx,close,linear_regression,12,1,862.1971507859387,,704.3728897773663,,0.0392423459613834,,0.0321587578596321,
canada_tsx,close,linear_regression,13,1,309.91122953799925,,242.2804031174268,,0.0137621760953989,,0.0107505358482005,
canada_tsx,close,naive_persistence,13,1,406.89231492170586,,295.50439453125,,0.0180880761091369,,0.0130839756385291,
canada_tsx,close,lstm_gru,13,3,422.93490024525687,19.018425961399622,309.6949248416011,16.67756749743411,0.018788864172996498,0.0008304839165278969,0.013704312135757435,0.0007289037663224668
canada_tsx,close,dnfs,13,3,462.6903405680177,10.715446607741995,343.5129028707723,8.54670658116052,0.020522087676536467,0.00046604675976520275,0.0151808969651408,0.0003725627392573705
canada_tsx,close,cnn1d,13,3,513.0237490535598,76.8796931155724,390.15623753267977,72.52637797387449,0.0227001098039552,0.0033256380773864797,0.01720504225256723,0.0031465164134184065
canada_tsx,close,dnfs,14,3,198.65849278647974,17.921592716337894,149.24015581632375,4.713185086412228,0.008562038262899667,0.0007707946526171854,0.0064413638820676996,0.00020431853648181212
canada_tsx,close,cnn1d,14,3,204.00738970690918,17.740798353621578,151.93288265717254,6.097870626527989,0.0087919718513803,0.0007649921912774556,0.0065581734916613675,0.00026458457351035276
canada_tsx,close,lstm_gru,14,3,210.80267695440378,29.683047695628893,158.34306537384438,17.263854767797252,0.009087121448147701,0.0012835664668208048,0.006836823293556133,0.0007499724897398766
canada_tsx,close,naive_persistence,14,1,218.81090423734315,,155.46533203125,,0.0094299165142551,,0.0067113519047729,
canada_tsx,close,linear_regression,14,1,327.09646839062816,,250.06238047334935,,0.0141590390147828,,0.0108375802796873,
canada_tsx,close,cnn1d,15,3,304.67348997532446,75.90540240585544,276.24612856424,67.411438465513,0.012720925592276064,0.0031944444160950805,0.011556487417015865,0.0028397264369921754
canada_tsx,close,dnfs,15,3,385.10848466171456,38.26613263131126,347.28542587945327,34.26266332126156,0.01610566789117863,0.0016160892210098042,0.014548938636374733,0.0014476891606637942
canada_tsx,close,lstm_gru,15,3,396.63020139777115,44.23456358241989,357.8118520234295,39.426747786163254,0.016593004085227233,0.0018682167643854402,0.014994235903779267,0.0016660573489702616
canada_tsx,close,naive_persistence,15,1,467.2981727702741,,420.82080078125,,0.0195838381341367,,0.0176617246498131,
canada_tsx,close,linear_regression,15,1,616.0801899006161,,554.5113399677952,,0.0259237000400338,,0.0233555304288328,
canada_tsx,close,dnfs,16,3,198.89118299157948,4.667232147797042,157.03485365694075,4.4475806317174325,0.008113590555117131,0.00019453588002208246,0.006399041267561634,0.0001810100812343179
canada_tsx,close,lstm_gru,16,3,204.57017881194034,10.091788825897481,156.71321042451174,3.142412163820591,0.008347967080063067,0.00041428745988249737,0.006385941927882767,0.00012778426301304882
canada_tsx,close,naive_persistence,16,1,209.58469655037868,,177.60537109375,,0.0085359824087752,,0.0072380134957288,
canada_tsx,close,cnn1d,16,3,230.4154947175617,11.550125181987278,170.5309395175027,11.60732567278347,0.009400431251300833,0.0004673537411386186,0.006946115219331233,0.00046939267551698356
canada_tsx,close,linear_regression,16,1,385.4857900980275,,322.5615754873497,,0.0157657111213366,,0.0131975090977178,
canada_tsx,close,lstm_gru,17,3,555.1046228306719,90.14258917912285,494.54894132114924,80.2302838479003,0.022015795753646667,0.0036257345817380594,0.019640055035086867,0.0032285672622403574
canada_tsx,close,cnn1d,17,3,578.973507012859,117.53109677901767,515.8895853299754,104.54558276046535,0.022979258711928033,0.004731398266859947,0.020501470495739468,0.00421024487314029
canada_tsx,close,naive_persistence,17,1,633.336543454049,,564.2642578125,,0.0251588806030765,,0.02244266623725,
canada_tsx,close,dnfs,17,3,678.1645262237879,105.26129774782495,604.1002671925934,93.60791588073438,0.026976926474363967,0.004261517082142007,0.02405751046331757,0.0037886992485635304
canada_tsx,close,linear_regression,17,1,805.0843646051939,,717.0545255400846,,0.0321193903351936,,0.0286318590466495,
canada_tsx,close,linear_regression,18,1,590.9916228531132,,515.8522120546229,,0.0235539528996529,,0.0205203720709921,
canada_tsx,close,naive_persistence,18,1,726.3082517949541,,656.065234375,,0.0288441379798883,,0.0260132252096642,
canada_tsx,close,lstm_gru,18,3,847.658809394205,69.29337637572154,772.9604311722929,65.63679572303101,0.03355288660187667,0.002679662560804758,0.030558023264556467,0.00254346861454507
canada_tsx,close,dnfs,18,3,857.6466676454356,92.53199907094013,782.3209675128005,87.68879244417829,0.033936886335799936,0.0035761825043817154,0.03091875486791607,0.003396194986826139
canada_tsx,close,cnn1d,18,3,912.2716497972989,85.22127758653804,833.9860594765372,80.13278380792636,0.036047581648916666,0.0032840432652999664,0.032919587012792566,0.003095162575871365
canada_tsx,close,cnn1d,19,3,292.67406692233425,24.178005213796514,244.0319450888993,27.131286786318967,0.0116465384981586,0.0009440745400103286,0.009696778970137734,0.0010748982567059674
canada_tsx,close,lstm_gru,19,3,328.6963240894123,20.086538541702062,284.74895191748624,23.56583560165773,0.013058187456861601,0.0007907814541163614,0.011311972171356167,0.0009363177172185571
canada_tsx,close,dnfs,19,3,333.98832688693966,52.521499954749295,287.9328581525711,57.15896852654588,0.0132720451869048,0.002075431243483346,0.011441303545884435,0.002274995230684771
canada_tsx,close,naive_persistence,19,1,370.564583941188,,329.6099609375,,0.0147127573914088,,0.0130975555786524,
canada_tsx,close,linear_regression,19,1,573.1474065819813,,506.850574876702,,0.0228333152115776,,0.0202141549107874,
canada_tsx,close,linear_regression,20,1,266.4272358182637,,202.8992292526264,,0.0106376809853748,,0.0080640197822614,
canada_tsx,close,naive_persistence,20,1,440.1863502579503,,326.175,,0.0174956988698531,,0.012919775016959,
canada_tsx,close,lstm_gru,20,3,529.1923113450138,55.82710794870559,391.01014507111796,40.62759286819288,0.020966620304821503,0.0021743679807730266,0.015450297815208769,0.0015839161026730963
canada_tsx,close,dnfs,20,3,535.2520490664691,92.53662789069517,396.3295138420146,68.36438101393202,0.02119788567405863,0.0036057831524953627,0.0156545341346719,0.0026663518674852047
canada_tsx,close,cnn1d,20,3,593.5163895927572,62.659253694543544,440.7340275339461,49.82762483361338,0.023464464959571597,0.002428697043938859,0.017383708838942434,0.0019345247559294382
canada_tsx,close,naive_persistence,21,1,504.4983522231354,,389.3296875,,0.0206838108662709,,0.01580846235406,
canada_tsx,close,dnfs,21,3,504.78749845188736,0.11739334937979619,384.32776042372046,6.273436311424226,0.020706294829920268,1.687530528344072e-05,0.0156066056080149,0.0002532453605005236
canada_tsx,close,lstm_gru,21,3,507.2865474061325,2.592469454012828,376.3589285887975,8.217898389696204,0.0208230018312552,0.00012122912844663613,0.015285344308402166,0.0003312822280691592
canada_tsx,close,linear_regression,21,1,511.64200113242623,,435.5801256290415,,0.0208945163148836,,0.0176780508979954,
