scope,run_id,market,model,feature_set,seed,status,checked,integrity_pass,origins_match,target_dates_match,fold_boundaries_match,fold_counts_match,prediction_counts_match,horizons_match,fold_count,prediction_count,persistence_predictions_match,persistence_metrics_match
run_vs_plan,canada_tsx__naive_persistence__close__seed42,canada_tsx,naive_persistence,close,42,completed,True,True,True,True,True,True,True,True,39.0,765.0,,
run_vs_plan,canada_tsx__naive_persistence__indicators__seed42,canada_tsx,naive_persistence,indicators,42,completed,True,True,True,True,True,True,True,True,39.0,765.0,,
run_vs_plan,canada_tsx__linear_regression__close__seed42,canada_tsx,linear_regression,close,42,completed,True,True,True,True,True,True,True,True,39.0,765.0,,
run_vs_plan,canada_tsx__linear_regression__indicators__seed42,canada_tsx,linear_regression,indicators,42,completed,True,True,True,True,True,True,True,True,39.0,765.0,,
run_vs_plan,france_cac40__naive_persistence__close__seed42,france_cac40,naive_persistence,close,42,completed,True,True,True,True,True,True,True,True,39.0,779.0,,
run_vs_plan,france_cac40__naive_persistence__indicators__seed42,france_cac40,naive_persistence,indicators,42,completed,True,True,True,True,True,True,True,True,39.0,779.0,,
run_vs_plan,france_cac40__linear_regression__close__seed42,france_cac40,linear_regression,close,42,completed,True,True,True,True,True,True,True,True,39.0,779.0,,
run_vs_plan,france_cac40__linear_regression__indicators__seed42,france_cac40,linear_regression,indicators,42,completed,True,True,True,True,True,True,True,True,39.0,779.0,,
run_vs_plan,germany_dax__naive_persistence__close__seed42,germany_dax,naive_persistence,close,42,completed,True,True,True,True,True,True,True,True,39.0,774.0,,
run_vs_plan,germany_dax__naive_persistence__indicators__seed42,germany_dax,naive_persistence,indicators,42,completed,True,True,True,True,True,True,True,True,39.0,774.0,,
run_vs_plan,germany_dax__linear_regression__close__seed42,germany_dax,linear_regression,close,42,completed,True,True,True,True,True,True,True,True,39.0,774.0,,
run_vs_plan,germany_dax__linear_regression__indicators__seed42,germany_dax,linear_regression,indicators,42,completed,True,True,True,True,True,True,True,True,39.0,774.0,,
run_vs_plan,italy_ftse_mib__naive_persistence__close__seed42,italy_ftse_mib,naive_persistence,close,42,completed,True,True,True,True,True,True,True,True,39.0,774.0,,
run_vs_plan,italy_ftse_mib__naive_persistence__indicators__seed42,italy_ftse_mib,naive_persistence,indicators,42,completed,True,True,True,True,True,True,True,True,39.0,774.0,,
run_vs_plan,italy_ftse_mib__linear_regression__close__seed42,italy_ftse_mib,linear_regression,close,42,completed,True,True,True,True,True,True,True,True,39.0,774.0,,
run_vs_plan,italy_ftse_mib__linear_regression__indicators__seed42,italy_ftse_mib,linear_regression,indicators,42,completed,True,True,True,True,True,True,True,True,39.0,774.0,,
run_vs_plan,japan_nikkei225__naive_persistence__close__seed42,japan_nikkei225,naive_persistence,close,42,completed,True,True,True,True,True,True,True,True,38.0,746.0,,
run_vs_plan,japan_nikkei225__naive_persistence__indicators__seed42,japan_nikkei225,naive_persistence,indicators,42,completed,True,True,True,True,True,True,True,True,38.0,746.0,,
run_vs_plan,japan_nikkei225__linear_regression__close__seed42,japan_nikkei225,linear_regression,close,42,completed,True,True,True,True,True,True,True,True,38.0,746.0,,
run_vs_plan,japan_nikkei225__linear_regression__indicators__seed42,japan_nikkei225,linear_regression,indicators,42,completed,True,True,True,True,True,True,True,True,38.0,746.0,,
run_vs_plan,uk_ftse100__naive_persistence__close__seed42,uk_ftse100,naive_persistence,close,42,completed,True,True,True,True,True,True,True,True,39.0,770.0,,
run_vs_plan,uk_ftse100__naive_persistence__indicators__seed42,uk_ftse100,naive_persistence,indicators,42,completed,True,True,True,True,True,True,True,True,39.0,770.0,,
run_vs_plan,uk_ftse100__linear_regression__close__seed42,uk_ftse100,linear_regression,close,42,completed,True,True,True,True,True,True,True,True,39.0,770.0,,
run_vs_plan,uk_ftse100__linear_regression__indicators__seed42,uk_ftse100,linear_regression,indicators,42,completed,True,True,True,True,True,True,True,True,39.0,770.0,,
run_vs_plan,us_sp500__naive_persistence__close__seed42,us_sp500,naive_persistence,close,42,completed,True,True,True,True,True,True,True,True,39.0,767.0,,
run_vs_plan,us_sp500__naive_persistence__indicators__seed42,us_sp500,naive_persistence,indicators,42,completed,True,True,True,True,True,True,True,True,39.0,767.0,,
run_vs_plan,us_sp500__linear_regression__close__seed42,us_sp500,linear_regression,close,42,completed,True,True,True,True,True,True,True,True,39.0,767.0,,
run_vs_plan,us_sp500__linear_regression__indicators__seed42,us_sp500,linear_regression,indicators,42,completed,True,True,True,True,True,True,True,True,39.0,767.0,,
persistence_feature_pair,,canada_tsx,naive_persistence,close_vs_indicators,42,completed,True,True,,,,,,,,,True,True
persistence_feature_pair,,france_cac40,naive_persistence,close_vs_indicators,42,completed,True,True,,,,,,,,,True,True
persistence_feature_pair,,germany_dax,naive_persistence,close_vs_indicators,42,completed,True,True,,,,,,,,,True,True
persistence_feature_pair,,italy_ftse_mib,naive_persistence,close_vs_indicators,42,completed,True,True,,,,,,,,,True,True
persistence_feature_pair,,japan_nikkei225,naive_persistence,close_vs_indicators,42,completed,True,True,,,,,,,,,True,True
persistence_feature_pair,,uk_ftse100,naive_persistence,close_vs_indicators,42,completed,True,True,,,,,,,,,True,True
persistence_feature_pair,,us_sp500,naive_persistence,close_vs_indicators,42,completed,True,True,,,,,,,,,True,True
