feature_set,model,combinations,complete_combinations,incomplete_combinations,failed_combinations,planned_runs,completed_runs,failed_runs,divergence_count,mean_price_rmse_rank,std_price_rmse_rank,mean_ratio_to_persistence,runs
close,naive_persistence,7,7,0,0,7,7,0,0,1.7142857142857142,1.1126972805283737,1.0,7
close,lstm_gru,7,7,0,0,21,21,0,0,1.9047619047619047,0.6248809410409238,1.0109589001564547,21
close,cnn1d,7,7,0,0,21,21,0,0,3.0,1.1832159566199232,1.0989788454885694,21
close,dnfs,7,7,0,0,21,21,0,0,3.3333333333333335,0.9660917830792959,1.0685208760889413,21
close,linear_regression,7,7,0,0,7,7,0,0,4.571428571428571,0.7867957924694431,1.1257822552546706,7
indicators,naive_persistence,7,7,0,0,7,7,0,0,2.142857142857143,1.3451854182690985,1.0,7
indicators,dnfs,7,7,0,0,21,21,0,0,2.4761904761904763,1.077916862241593,1.0182205443488452,21
indicators,cnn1d,7,7,0,0,21,21,0,0,2.6666666666666665,1.3165611772087666,1.0343162423860026,21
indicators,lstm_gru,7,7,0,0,21,21,0,0,2.857142857142857,0.9102589898327997,1.0288646345745547,21
indicators,linear_regression,7,7,0,0,7,7,0,0,4.857142857142857,0.37796447300922725,1.1904168998022673,7
