market,feature_set,model,seeds,ratio_mean,ratio_std,price_rmse_mean,price_rmse_std
canada_tsx,close,lstm_gru,3,0.9763109229151334,0.0398901248492512,653.3988574272179,26.696579324653868
canada_tsx,close,naive_persistence,1,1.0,,669.2528395321609,
canada_tsx,close,cnn1d,3,1.0561864757720831,0.05029653794470023,706.8557979859324,33.66110083812776
canada_tsx,close,dnfs,3,1.068339814871869,0.03745918306116084,714.9894546882615,25.06966463023692
canada_tsx,close,linear_regression,1,1.2499390691062633,,836.5252712415527,
canada_tsx,indicators,cnn1d,3,0.9312554312296163,0.025630392236868152,623.2453416801677,17.153212782847053
canada_tsx,indicators,dnfs,3,0.9571411745503831,0.021925147876145083,640.5694489009916,14.673467473272714
canada_tsx,indicators,lstm_gru,3,0.9862904773132586,0.027895897879919813,660.0777025454286,18.669408867435532
canada_tsx,indicators,naive_persistence,1,1.0,,669.2528395321609,
canada_tsx,indicators,linear_regression,1,1.3563246181662787,,907.724102035156,
france_cac40,close,naive_persistence,1,1.0,,229.8224888051201,
france_cac40,close,dnfs,3,1.0206513369714145,0.005702611881891881,234.56863046504375,1.3105884553860636
france_cac40,close,lstm_gru,3,1.0239137449319038,0.01982603434908901,235.31840518202102,4.5564685572434245
france_cac40,close,linear_regression,1,1.0860173986367285,,249.59122144035516,
france_cac40,close,cnn1d,3,1.0915586861925723,0.023648265145963486,250.8647339376241,5.434903151768718
france_cac40,indicators,naive_persistence,1,1.0,,229.8224888051201,
france_cac40,indicators,dnfs,3,1.0096165720484713,0.00828552310633582,232.03259332707353,1.904199541350412
france_cac40,indicators,lstm_gru,3,1.059297616245597,0.010693077182161299,243.45041455089412,2.4575096109895695
france_cac40,indicators,cnn1d,3,1.069417055140858,0.04206352477804708,245.7760891831143,9.667143952406603
france_cac40,indicators,linear_regression,1,1.0809713373299459,,248.43152307216715,
germany_dax,close,lstm_gru,3,0.9993305066666734,0.016603446374992326,609.1736056810352,10.121157342352051
germany_dax,close,naive_persistence,1,1.0,,609.5817165764009,
germany_dax,close,dnfs,3,1.0326805479834695,0.040475556402690814,629.5031811148218,24.673159151337202
germany_dax,close,linear_regression,1,1.0461664901475678,,637.7239648888628,
germany_dax,close,cnn1d,3,1.0594294850916177,0.0498502074811788,645.8088441138008,30.387775048066718
germany_dax,indicators,dnfs,3,0.9928825606684019,0.06672714810651081,605.2430556910169,40.67564948501457
germany_dax,indicators,naive_persistence,1,1.0,,609.5817165764009,
germany_dax,indicators,lstm_gru,3,1.0432614368825919,0.022187725316268735,635.953097532853,13.52523168521667
germany_dax,indicators,cnn1d,3,1.0594432950338464,0.07924327750857071,645.8172624020905,48.30525313081464
germany_dax,indicators,linear_regression,1,1.1197337447173004,,682.5692182132934,
italy_ftse_mib,close,naive_persistence,1,1.0,,1228.93404052821,
italy_ftse_mib,close,lstm_gru,3,1.0291605531438293,0.017589953667110598,1264.770436927294,21.616892832826164
italy_ftse_mib,close,dnfs,3,1.110712021246944,0.06745613635660926,1364.9918121342619,82.89914221114977
italy_ftse_mib,close,cnn1d,3,1.1371492229548765,0.021834390799990996,1397.481389249451,26.83302610830483
italy_ftse_mib,close,linear_regression,1,1.1789342957070552,,1448.832487540551,
italy_ftse_mib,indicators,naive_persistence,1,1.0,,1228.93404052821,
italy_ftse_mib,indicators,lstm_gru,3,1.0627459352197821,0.03813942152565821,1306.0446562245781,46.870833398935936
italy_ftse_mib,indicators,dnfs,3,1.0727782299707156,0.038330346045997596,1318.3736847486127,47.10546704115238
italy_ftse_mib,indicators,cnn1d,3,1.0985435092986957,0.020703768769814262,1350.0375135784855,25.443566208449536
italy_ftse_mib,indicators,linear_regression,1,1.2444789046256535,,1529.3824886137252,
japan_nikkei225,close,cnn1d,3,0.980678389145091,0.012595985762254886,1822.5917403667452,23.40965179428085
japan_nikkei225,close,lstm_gru,3,0.9919992628584179,0.01644232013614556,1843.6315951774866,30.558067970406693
japan_nikkei225,close,naive_persistence,1,1.0,,1858.500972939349,
japan_nikkei225,close,dnfs,3,1.0561579031265236,0.09611204003588956,1962.8704905382267,178.62431991788625
japan_nikkei225,close,linear_regression,1,1.0831593332043463,,2013.052674608614,
japan_nikkei225,indicators,cnn1d,3,0.9769001389575472,0.04400042793137847,1815.5698587171867,81.77483812021474
japan_nikkei225,indicators,lstm_gru,3,0.9990304535509148,0.014397021181145045,1856.6990699204143,26.75687787258647
japan_nikkei225,indicators,naive_persistence,1,1.0,,1858.500972939349,
japan_nikkei225,indicators,dnfs,3,1.0298133142666837,0.026975544078705276,1913.909046510527,50.1340749158421
japan_nikkei225,indicators,linear_regression,1,1.1573423013244442,,2150.9217930353448,
uk_ftse100,close,naive_persistence,1,1.0,,192.61581506645783,
uk_ftse100,close,lstm_gru,3,1.1088029122721583,0.02477416840415219,213.5729766953639,4.771896639759465
uk_ftse100,close,dnfs,3,1.1942079608785383,0.03524852135288145,230.0233397434723,6.789422670272732
uk_ftse100,close,linear_regression,1,1.2469353955103015,,240.17947754143268,
uk_ftse100,close,cnn1d,3,1.4044018344016695,0.1875225824994221,270.5100040141061,36.11981507149325
uk_ftse100,indicators,naive_persistence,1,1.0,,192.61581506645783,
uk_ftse100,indicators,lstm_gru,3,1.078202524008011,0.040536770887820615,207.6788579685151,7.808023164719824
uk_ftse100,indicators,dnfs,3,1.091622283811144,0.02508169657720659,210.26371594099166,4.831131429468241
uk_ftse100,indicators,cnn1d,3,1.1357578175320415,0.05780897024485157,218.76491774203546,11.134921921864668
uk_ftse100,indicators,linear_regression,1,1.3384810785374228,,257.81262389351724,
us_sp500,close,lstm_gru,3,0.9471943983070675,0.008862669475049056,142.8687756970476,1.3367886672165015
us_sp500,close,cnn1d,3,0.9634478248620747,0.012403953816751509,145.3203391321208,1.8709334628344239
us_sp500,close,linear_regression,1,0.9893238044704322,,149.22330723794497,
us_sp500,close,dnfs,3,0.9968965475438295,0.028122412303894045,150.36553161500873,4.241805718747923
us_sp500,close,naive_persistence,1,1.0,,150.83363663509704,
us_sp500,indicators,cnn1d,3,0.9688964495094137,0.027068754558902904,146.14217500233855,4.0828786893021904
us_sp500,indicators,lstm_gru,3,0.9732239988017278,0.015302454624972806,146.79491499981592,2.3081248805282173
us_sp500,indicators,dnfs,3,0.9736896751261183,0.05270490776803939,146.8651546533186,7.9496729071707515
us_sp500,indicators,naive_persistence,1,1.0,,150.83363663509704,
us_sp500,indicators,linear_regression,1,1.0355863139148254,,156.2012497773083,
