model,horizon_step,forecast_count,mae,rmse,mape,r2,price_mae,price_rmse,price_mape,price_r2,run_id,market,feature_set,seed,artifact_dir,persistence_price_rmse,price_rmse_ratio_to_persistence
cnn1d,1,50,0.0170761381213079,0.022817972495296,155.42685970020833,-0.3829591506209893,145.46615452333378,197.9988887347336,1.7022934270940089,0.9958637124530668,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_indicators_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260714_210505,164.8922780960078,1.2007772044937703
dnfs,1,50,0.0185891191932662,0.0257725964435109,180.75932181133876,-0.7642965894881519,156.0204172063508,220.89702480045432,1.8533545189248095,0.9948516869140778,bist100__dnfs__close__seed1,bist100,close,1,outputs/batches/markets_indicators_recursive_h20/runs/bist100__dnfs__close__seed1/artifacts/20260714_223114,164.8922780960078,1.339644447581942
linear_regression,1,50,0.0310863046364478,0.0404633699145154,340.9889171841473,-3.348899247373926,262.5228593422299,347.6012946743109,3.0597227390200974,0.9872518258519604,bist100__linear_regression__close__seed1,bist100,close,1,outputs/batches/markets_indicators_recursive_h20/runs/bist100__linear_regression__close__seed1/artifacts/20260714_164840,164.8922780960078,2.108050775257781
lstm_gru,1,50,0.0151490769949271,0.020221880201962,99.5306678885577,-0.0861712772302354,124.54632831231528,164.32817227004784,1.5132788995557187,0.997150889674885,bist100__lstm_gru__close__seed1,bist100,close,1,outputs/batches/markets_indicators_recursive_h20/runs/bist100__lstm_gru__close__seed1/artifacts/20260714_215710,164.8922780960078,0.9965789433412309
mlp,1,50,0.0147275945928626,0.0198770785766367,108.54992830242637,-0.0494466287310906,120.59977939594532,156.12419230616285,1.4727616007100932,0.9974282684898804,bist100__mlp__close__seed1,bist100,close,1,outputs/batches/markets_indicators_recursive_h20/runs/bist100__mlp__close__seed1/artifacts/20260714_212940,164.8922780960078,0.946825370532271
naive_persistence,1,50,0.015050992966772,0.0199811136669677,100.0,-0.0604608220222482,123.9579931640625,164.8922780960078,1.5030540968627937,0.9971312952461396,bist100__naive_persistence__close__seed1,bist100,close,1,outputs/batches/markets_indicators_recursive_h20/runs/bist100__naive_persistence__close__seed1/artifacts/20260714_164757,164.8922780960078,1.0
cnn1d,2,50,0.0255686469168555,0.0318381067738038,254.12720733145272,-1.011445010472928,217.7754508334912,283.0068060436571,2.53039805682074,0.9913625895630808,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_indicators_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260714_210505,198.54117117130824,1.425431331819177
dnfs,2,50,0.0278747232128603,0.037797075291836,281.8155094960515,-1.8348500123650304,237.32446388589705,343.60889688318474,2.7647700090945,0.9872673559686284,bist100__dnfs__close__seed1,bist100,close,1,outputs/batches/markets_indicators_recursive_h20/runs/bist100__dnfs__close__seed1/artifacts/20260714_223114,198.54117117130824,1.7306682279349859
linear_regression,2,50,0.0443351925980952,0.0594283495791833,479.30003458477313,-6.00811198850387,386.1293722092299,538.8786279191347,4.276388093435353,0.9686836083027028,bist100__linear_regression__close__seed1,bist100,close,1,outputs/batches/markets_indicators_recursive_h20/runs/bist100__linear_regression__close__seed1/artifacts/20260714_164840,198.54117117130824,2.7141908388067857
lstm_gru,2,50,0.019707378032133,0.024593610642475,103.64796695806372,-0.2002128736050614,157.30978676452622,198.6286083142942,1.957860756386773,0.9957452563718716,bist100__lstm_gru__close__seed1,bist100,close,1,outputs/batches/markets_indicators_recursive_h20/runs/bist100__lstm_gru__close__seed1/artifacts/20260714_215710,198.54117117130824,1.0004403980417267
mlp,2,50,0.0190591448477869,0.0239893485551533,115.14840858448446,-0.1419592419716375,149.49908305822868,187.8343166986028,1.895492618352004,0.9961951312897038,bist100__mlp__close__seed1,bist100,close,1,outputs/batches/markets_indicators_recursive_h20/runs/bist100__mlp__close__seed1/artifacts/20260714_212940,198.54117117130824,0.9460723717426489
naive_persistence,2,50,0.0193792276655475,0.0242825735390601,100.0,-0.1700464944045761,155.0599755859375,198.54117117130824,1.9240286277624183,0.99574900145922,bist100__naive_persistence__close__seed1,bist100,close,1,outputs/batches/markets_indicators_recursive_h20/runs/bist100__naive_persistence__close__seed1/artifacts/20260714_164757,198.54117117130824,1.0
cnn1d,3,50,0.0359363767256274,0.0471383365329013,225.55868665435705,-0.9181188290683504,291.6169155616537,390.1849474303352,3.538921978928479,0.9834358406433736,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_indicators_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260714_210505,258.6130748454131,1.5087595538762675
dnfs,3,50,0.0412909355855459,0.0560661372291107,243.6174493849301,-1.713490307900709,342.7402939991587,489.98857103595736,4.092928319250088,0.9738783697233526,bist100__dnfs__close__seed1,bist100,close,1,outputs/batches/markets_indicators_recursive_h20/runs/bist100__dnfs__close__seed1/artifacts/20260714_223114,258.6130748454131,1.8946782614484972
linear_regression,3,50,0.0619339052853085,0.0828821116084791,517.0753716098633,-4.929917041201164,513.22688774054,693.9648055371736,5.889153622060387,0.9476033803901226,bist100__linear_regression__close__seed1,bist100,close,1,outputs/batches/markets_indicators_recursive_h20/runs/bist100__linear_regression__close__seed1/artifacts/20260714_164840,258.6130748454131,2.6834095915374485
lstm_gru,3,50,0.0282249852325533,0.0368382828875613,121.0650944494682,-0.1714554049950534,215.603497688018,263.3995199533506,2.796934855666563,0.9924515403836456,bist100__lstm_gru__close__seed1,bist100,close,1,outputs/batches/markets_indicators_recursive_h20/runs/bist100__lstm_gru__close__seed1/artifacts/20260714_215710,258.6130748454131,1.018508132702875
mlp,3,50,0.027707238024343,0.0365059027530312,160.18144700711122,-0.1504114311447686,211.4288359075368,264.05905351053354,2.7503743292004543,0.9924136914515,bist100__mlp__close__seed1,bist100,close,1,outputs/batches/markets_indicators_recursive_h20/runs/bist100__mlp__close__seed1/artifacts/20260714_212940,258.6130748454131,1.0210584042140012
naive_persistence,3,50,0.0275575076335299,0.0359074397001824,100.0,-0.1130018417804352,210.4159912109375,258.6130748454131,2.7289569645878453,0.9927233860674342,bist100__naive_persistence__close__seed1,bist100,close,1,outputs/batches/markets_indicators_recursive_h20/runs/bist100__naive_persistence__close__seed1/artifacts/20260714_164757,258.6130748454131,1.0
cnn1d,4,50,0.0408477986665804,0.0529689069088922,179.71533264770622,-0.979473330317152,336.6793591553025,449.2271862979943,4.024265929604744,0.9782023607645812,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_indicators_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260714_210505,290.8548500972844,1.5445064304333862
dnfs,4,50,0.0504275143201229,0.0693175072321422,241.82934753957025,-2.389951666887632,431.3405105990656,630.3958085374527,5.017924228998876,0.957075619866638,bist100__dnfs__close__seed1,bist100,close,1,outputs/batches/markets_indicators_recursive_h20/runs/bist100__dnfs__close__seed1/artifacts/20260714_223114,290.8548500972844,2.1673897077067807
