run_id,market,model,feature_set,seed,config_sha256,dataset_path,dataset_sha256,git_revision,python_version,platform,forecastle_version,torch_version,device_requested,status,started_at,completed_at,duration_seconds,artifact_dir,error_type,error
bist100__cnn1d__close__seed1,bist100,cnn1d,close,1,b378182ac11c9cce6489a7b9923e07a0051e0f4b241884702b91b6e230b05162,data/raw/bist100.csv,73bebf639bf279a1d795e70709709369f3cb6951b64b976067c12a77b76d2aa9,fd51a670a9a400310af368f6f4907399272b6d50,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,completed,2026-07-14T21:05:05.241942+00:00,2026-07-14T21:07:19.223846+00:00,133.97230625599877,outputs/batches/markets_indicators_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260714_210505,,
bist100__cnn1d__close__seed123,bist100,cnn1d,close,123,63e7c8926a5ee9e9341b71990e97ecded9bfb0c6f20be4dbb83cf41ff6e9eb46,data/raw/bist100.csv,73bebf639bf279a1d795e70709709369f3cb6951b64b976067c12a77b76d2aa9,fd51a670a9a400310af368f6f4907399272b6d50,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,completed,2026-07-14T21:12:17.029970+00:00,2026-07-14T21:14:42.464739+00:00,145.42839373700008,outputs/batches/markets_indicators_recursive_h20/runs/bist100__cnn1d__close__seed123/artifacts/20260714_211217,,
bist100__cnn1d__close__seed2026,bist100,cnn1d,close,2026,3f9361e8a9100e0e6a3cfc44ad76d250b662eb8342d5bff3a61870f937241f0f,data/raw/bist100.csv,73bebf639bf279a1d795e70709709369f3cb6951b64b976067c12a77b76d2aa9,fd51a670a9a400310af368f6f4907399272b6d50,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,completed,2026-07-14T21:14:42.468477+00:00,2026-07-14T21:17:05.763864+00:00,143.28890922699975,outputs/batches/markets_indicators_recursive_h20/runs/bist100__cnn1d__close__seed2026/artifacts/20260714_211442,,
bist100__cnn1d__close__seed42,bist100,cnn1d,close,42,868d3fe55efed4844197642060e874262076d69b17e23021cf19f6b6a08ee887,data/raw/bist100.csv,73bebf639bf279a1d795e70709709369f3cb6951b64b976067c12a77b76d2aa9,fd51a670a9a400310af368f6f4907399272b6d50,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,completed,2026-07-14T21:09:51.293931+00:00,2026-07-14T21:12:17.026784+00:00,145.72619469500023,outputs/batches/markets_indicators_recursive_h20/runs/bist100__cnn1d__close__seed42/artifacts/20260714_210951,,
bist100__cnn1d__close__seed7,bist100,cnn1d,close,7,ed3528fa84497fcf1c6b5b81c0e21ea3466d5a3b5336260645513178dadc8c06,data/raw/bist100.csv,73bebf639bf279a1d795e70709709369f3cb6951b64b976067c12a77b76d2aa9,fd51a670a9a400310af368f6f4907399272b6d50,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,completed,2026-07-14T21:07:19.227327+00:00,2026-07-14T21:09:51.290674+00:00,152.0569614369997,outputs/batches/markets_indicators_recursive_h20/runs/bist100__cnn1d__close__seed7/artifacts/20260714_210719,,
bist100__cnn1d__indicators__seed1,bist100,cnn1d,indicators,1,4e38fe550c926ced8345edd57103f890dce7b648fb1e889e09c707b08c45e0ba,data/raw/bist100.csv,73bebf639bf279a1d795e70709709369f3cb6951b64b976067c12a77b76d2aa9,fd51a670a9a400310af368f6f4907399272b6d50,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,completed,2026-07-14T21:17:05.767182+00:00,2026-07-14T21:19:38.006553+00:00,152.23311018999993,outputs/batches/markets_indicators_recursive_h20/runs/bist100__cnn1d__indicators__seed1/artifacts/20260714_211705,,
bist100__cnn1d__indicators__seed123,bist100,cnn1d,indicators,123,44e9f6f811b0a7e056b2eb42f37177ab297f924698a96adcce8cec9d4461fff3,data/raw/bist100.csv,73bebf639bf279a1d795e70709709369f3cb6951b64b976067c12a77b76d2aa9,fd51a670a9a400310af368f6f4907399272b6d50,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,completed,2026-07-14T21:24:37.103475+00:00,2026-07-14T21:27:06.433642+00:00,149.3237149009983,outputs/batches/markets_indicators_recursive_h20/runs/bist100__cnn1d__indicators__seed123/artifacts/20260714_212437,,
bist100__cnn1d__indicators__seed2026,bist100,cnn1d,indicators,2026,852b186ba7d716e9a69892b09c2206ee3f98a67355eb95dec0c89323509ed225,data/raw/bist100.csv,73bebf639bf279a1d795e70709709369f3cb6951b64b976067c12a77b76d2aa9,fd51a670a9a400310af368f6f4907399272b6d50,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,completed,2026-07-14T21:27:06.437310+00:00,2026-07-14T21:29:40.647577+00:00,154.2037319329993,outputs/batches/markets_indicators_recursive_h20/runs/bist100__cnn1d__indicators__seed2026/artifacts/20260714_212706,,
bist100__cnn1d__indicators__seed42,bist100,cnn1d,indicators,42,b21a2bfa5bdb68413efdfb9c9fec292e334883eaee234015da195edd6f868fe0,data/raw/bist100.csv,73bebf639bf279a1d795e70709709369f3cb6951b64b976067c12a77b76d2aa9,fd51a670a9a400310af368f6f4907399272b6d50,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,completed,2026-07-14T21:22:09.028986+00:00,2026-07-14T21:24:37.093944+00:00,148.05822289799835,outputs/batches/markets_indicators_recursive_h20/runs/bist100__cnn1d__indicators__seed42/artifacts/20260714_212209,,
bist100__cnn1d__indicators__seed7,bist100,cnn1d,indicators,7,0e034b28f971af4ca50482e3e7d2cf171b95f3938465468a0d25db36a55f55dc,data/raw/bist100.csv,73bebf639bf279a1d795e70709709369f3cb6951b64b976067c12a77b76d2aa9,fd51a670a9a400310af368f6f4907399272b6d50,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,completed,2026-07-14T21:19:38.009950+00:00,2026-07-14T21:22:09.025512+00:00,151.00911068599999,outputs/batches/markets_indicators_recursive_h20/runs/bist100__cnn1d__indicators__seed7/artifacts/20260714_211938,,
bist100__dnfs__close__seed1,bist100,dnfs,close,1,84c4e90bd0759527027c35ab4b22dbc3e6f33edc89b2aa31c2486e6be6608a84,data/raw/bist100.csv,73bebf639bf279a1d795e70709709369f3cb6951b64b976067c12a77b76d2aa9,fd51a670a9a400310af368f6f4907399272b6d50,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,completed,2026-07-14T22:31:14.583128+00:00,2026-07-14T22:33:39.571409+00:00,144.9814071940018,outputs/batches/markets_indicators_recursive_h20/runs/bist100__dnfs__close__seed1/artifacts/20260714_223114,,
