feature_set,model,mean_price_rmse_rank,std_price_rmse_rank,mean_ratio_to_persistence,runs
close,lstm_gru,2.2,1.1464230084422218,1.0037226898882945,15
close,naive_persistence,2.6666666666666665,1.7182493859684491,1.0,15
close,mlp,2.8,0.8618916073713346,1.1081159022416165,15
close,cnn1d,3.066666666666667,1.334523278535216,1.3624061362030961,15
close,linear_regression,4.8,1.5212776585113297,2.093909395496007,15
close,dnfs,5.466666666666667,0.6399404734221844,2.570161560865445,15
indicators,naive_persistence,1.9333333333333333,1.2798809468443688,1.0,15
indicators,lstm_gru,2.3333333333333335,0.7237468644557459,1.0164272166744184,15
indicators,cnn1d,2.8666666666666667,1.4573295865416045,1.3015328131753492,15
indicators,mlp,3.466666666666667,1.245945806357946,1.1742495314375674,15
indicators,linear_regression,5.0,0.4714045207910318,1.038156979341774,10
indicators,dnfs,5.1,1.6633299933166197,1.2018871212792774,10
