model,horizon_step,forecast_count,mae,rmse,mape,r2,price_mae,price_rmse,price_mape,price_r2,run_id,market,feature_set,seed,artifact_dir,persistence_price_rmse,price_rmse_ratio_to_persistence
cnn1d,20,49,0.2343028271120274,0.2910834945248913,815.5070061717213,-10.326698649810025,1813.9561859990952,2272.779424055388,20.10778831393505,0.4018161722033673,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260716_224041_729156,753.477052018749,3.0163883796673794
dnfs,20,49,0.0749783278874516,0.0937157427863521,136.2492526910905,-0.1740681032368172,593.4155735965545,734.4039622975392,7.261354363380541,0.937541706783198,bist100__dnfs__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__dnfs__close__seed1/artifacts/20260716_234459_076312,753.477052018749,0.9746865685290504
linear_regression,20,49,0.1553310136225119,0.180573070084918,602.1124931402485,-3.3588723398066573,1235.7820241291322,1465.989406353497,14.231814784107524,0.7511247246661056,bist100__linear_regression__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__linear_regression__close__seed1/artifacts/20260716_223927_462948,753.477052018749,1.9456324547983959
lstm_gru,20,49,0.0849065948467351,0.1066514702608023,160.19704796606766,-0.5205541108690606,668.1589590484807,812.056696408849,8.085308247011808,0.923635274756135,bist100__lstm_gru__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__lstm_gru__close__seed1/artifacts/20260716_231759_461381,753.477052018749,1.0777457577946812
mlp,20,49,0.1090235087811839,0.1362523351339359,421.5088685000548,-1.4817389344212786,908.897505194572,1136.6393006332155,10.235991217008811,0.8503883454026543,bist100__mlp__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__mlp__close__seed1/artifacts/20260716_225945_816184,753.477052018749,1.5085254389471867
naive_persistence,20,49,0.0746143729549509,0.0933163829095019,100.0,-0.1640830858481394,590.4101263552296,753.477052018749,7.219622622360065,0.9342553906157848,bist100__naive_persistence__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__naive_persistence__close__seed1/artifacts/20260716_223820_829639,753.477052018749,1.0
cnn1d,20,49,0.2624885720945272,0.3429442368010182,1113.8485030519817,-14.72226832003157,1997.881013783062,2592.703302605064,21.69945462601601,0.221558947242993,bist100__cnn1d__close__seed7,bist100,close,7,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__cnn1d__close__seed7/artifacts/20260716_224242_268112,753.477052018749,3.440985091262672
dnfs,20,49,0.0775861312298042,0.0953042310900208,170.72805725186294,-0.2142064893303696,626.8441184648307,769.9237035984747,7.517345922103003,0.9313539629472112,bist100__dnfs__close__seed7,bist100,close,7,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__dnfs__close__seed7/artifacts/20260716_234828_836570,753.477052018749,1.0218276741616232
linear_regression,20,49,0.1553310136225119,0.180573070084918,602.1124931402485,-3.3588723398066573,1235.7820241291322,1465.989406353497,14.231814784107524,0.7511247246661056,bist100__linear_regression__close__seed7,bist100,close,7,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__linear_regression__close__seed7/artifacts/20260716_223932_566197,753.477052018749,1.9456324547983959
lstm_gru,20,49,0.0841338129440086,0.1059720271613783,166.13079218893526,-0.5012418759479325,658.059659443186,796.6201819532033,7.979535544624386,0.9265109388396592,bist100__lstm_gru__close__seed7,bist100,close,7,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__lstm_gru__close__seed7/artifacts/20260716_232049_232513,753.477052018749,1.0572587178585775
