run_id,market,model,feature_set,seed,config_sha256,aligned_warmup_rows,matched_plan_path,dataset_path,dataset_sha256,git_revision,python_version,platform,forecastle_version,torch_version,device_requested,divergence,matched_plan_sha256,status,last_action,started_at,completed_at,duration_seconds,artifact_dir
wig20__naive_persistence__close__seed1,wig20,naive_persistence,close,1,35eca10aad6529869e0cdd643f01538842c463e8f68abcbf70ca442cec7d5483,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv,data/raw/wig20.csv,2068449fa9044aae9b8dd670428feb5e3e2fb7c35207f8d46027f83ee2cf5ce4,9add7d739ae5e35aecd3175ed7e779ecb4f0f3f3,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,False,5f24d4c5ad6545b635251a6a4cdfb786e4eccf1498e713a282117be6e76b35dc,completed,completed,2026-07-16T19:44:27.774595+00:00,2026-07-16T19:44:28.837580+00:00,1.0565398710000409,outputs/batches/markets_matched_origins_direct_h20/runs/wig20__naive_persistence__close__seed1/artifacts/20260716_194427_840085
wig20__naive_persistence__close__seed7,wig20,naive_persistence,close,7,ff14f2cc864bb73f13fd4b5e7790524d5636cf41eeea1861cfe573d4c7da51c5,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv,data/raw/wig20.csv,2068449fa9044aae9b8dd670428feb5e3e2fb7c35207f8d46027f83ee2cf5ce4,9add7d739ae5e35aecd3175ed7e779ecb4f0f3f3,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,False,5f24d4c5ad6545b635251a6a4cdfb786e4eccf1498e713a282117be6e76b35dc,completed,completed,2026-07-16T19:44:28.902385+00:00,2026-07-16T19:44:29.691549+00:00,0.78210603000025,outputs/batches/markets_matched_origins_direct_h20/runs/wig20__naive_persistence__close__seed7/artifacts/20260716_194428_975222
wig20__naive_persistence__close__seed42,wig20,naive_persistence,close,42,1b85787f394cf72c51c3f69ac47bc14b7076011ce50e88554fe7212e95560a4f,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv,data/raw/wig20.csv,2068449fa9044aae9b8dd670428feb5e3e2fb7c35207f8d46027f83ee2cf5ce4,9add7d739ae5e35aecd3175ed7e779ecb4f0f3f3,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,False,5f24d4c5ad6545b635251a6a4cdfb786e4eccf1498e713a282117be6e76b35dc,completed,completed,2026-07-16T19:44:29.795382+00:00,2026-07-16T19:44:30.553000+00:00,0.751859665000211,outputs/batches/markets_matched_origins_direct_h20/runs/wig20__naive_persistence__close__seed42/artifacts/20260716_194429_863249
wig20__naive_persistence__close__seed123,wig20,naive_persistence,close,123,7b973a683d68021cd382cd39ce4edadf5dc1713d636e485216d438c8c98a89fa,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv,data/raw/wig20.csv,2068449fa9044aae9b8dd670428feb5e3e2fb7c35207f8d46027f83ee2cf5ce4,9add7d739ae5e35aecd3175ed7e779ecb4f0f3f3,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,False,5f24d4c5ad6545b635251a6a4cdfb786e4eccf1498e713a282117be6e76b35dc,completed,completed,2026-07-16T19:44:30.698524+00:00,2026-07-16T19:44:31.447423+00:00,0.7432049680001,outputs/batches/markets_matched_origins_direct_h20/runs/wig20__naive_persistence__close__seed123/artifacts/20260716_194430_763412
wig20__naive_persistence__close__seed2026,wig20,naive_persistence,close,2026,76044f932b6033eb9d60449c4402d4808bf85a5f2ee10dda4a228583f9b532c4,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv,data/raw/wig20.csv,2068449fa9044aae9b8dd670428feb5e3e2fb7c35207f8d46027f83ee2cf5ce4,9add7d739ae5e35aecd3175ed7e779ecb4f0f3f3,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,False,5f24d4c5ad6545b635251a6a4cdfb786e4eccf1498e713a282117be6e76b35dc,completed,completed,2026-07-16T19:44:31.630780+00:00,2026-07-16T19:44:32.395514+00:00,0.7590028680001524,outputs/batches/markets_matched_origins_direct_h20/runs/wig20__naive_persistence__close__seed2026/artifacts/20260716_194431_697884
wig20__naive_persistence__indicators__seed1,wig20,naive_persistence,indicators,1,cc8d914ba7fe6ae2e2dbb0679a81511529a7773c90c4870854bc51bc7287aa15,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv,data/raw/wig20.csv,2068449fa9044aae9b8dd670428feb5e3e2fb7c35207f8d46027f83ee2cf5ce4,9add7d739ae5e35aecd3175ed7e779ecb4f0f3f3,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,False,5f24d4c5ad6545b635251a6a4cdfb786e4eccf1498e713a282117be6e76b35dc,completed,completed,2026-07-16T19:44:32.615707+00:00,2026-07-16T19:44:34.245016+00:00,1.6236096960001305,outputs/batches/markets_matched_origins_direct_h20/runs/wig20__naive_persistence__indicators__seed1/artifacts/20260716_194432_687108
wig20__naive_persistence__indicators__seed7,wig20,naive_persistence,indicators,7,ec10bf2415a8f0b85fa0b682ef7c2975495ab5daf8a9e2e47d058ab858931917,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv,data/raw/wig20.csv,2068449fa9044aae9b8dd670428feb5e3e2fb7c35207f8d46027f83ee2cf5ce4,9add7d739ae5e35aecd3175ed7e779ecb4f0f3f3,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,False,5f24d4c5ad6545b635251a6a4cdfb786e4eccf1498e713a282117be6e76b35dc,completed,completed,2026-07-16T19:44:34.526869+00:00,2026-07-16T19:44:36.141120+00:00,1.6083233889999065,outputs/batches/markets_matched_origins_direct_h20/runs/wig20__naive_persistence__indicators__seed7/artifacts/20260716_194434_600302
wig20__naive_persistence__indicators__seed42,wig20,naive_persistence,indicators,42,88b01df79ed8933c5283790aac34351341bbe489629f52b7706019ec8957d042,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv,data/raw/wig20.csv,2068449fa9044aae9b8dd670428feb5e3e2fb7c35207f8d46027f83ee2cf5ce4,9add7d739ae5e35aecd3175ed7e779ecb4f0f3f3,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,False,5f24d4c5ad6545b635251a6a4cdfb786e4eccf1498e713a282117be6e76b35dc,completed,completed,2026-07-16T19:44:36.467015+00:00,2026-07-16T19:44:38.098283+00:00,1.6258246669999608,outputs/batches/markets_matched_origins_direct_h20/runs/wig20__naive_persistence__indicators__seed42/artifacts/20260716_194436_547476
wig20__naive_persistence__indicators__seed123,wig20,naive_persistence,indicators,123,0db166f2a79e1ace2f016f40a201f92370258b7c61f428e58876ff51fd5c56c0,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv,data/raw/wig20.csv,2068449fa9044aae9b8dd670428feb5e3e2fb7c35207f8d46027f83ee2cf5ce4,9add7d739ae5e35aecd3175ed7e779ecb4f0f3f3,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,False,5f24d4c5ad6545b635251a6a4cdfb786e4eccf1498e713a282117be6e76b35dc,completed,completed,2026-07-16T19:44:38.436641+00:00,2026-07-16T19:44:39.844888+00:00,1.4029124499998034,outputs/batches/markets_matched_origins_direct_h20/runs/wig20__naive_persistence__indicators__seed123/artifacts/20260716_194438_501236
wig20__naive_persistence__indicators__seed2026,wig20,naive_persistence,indicators,2026,3788d9f65d287defc63327db34bb2b662d404f82b2e580a2e4095dd721104184,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv,data/raw/wig20.csv,2068449fa9044aae9b8dd670428feb5e3e2fb7c35207f8d46027f83ee2cf5ce4,9add7d739ae5e35aecd3175ed7e779ecb4f0f3f3,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,0.1.0,2.12.1+cu130,auto,False,5f24d4c5ad6545b635251a6a4cdfb786e4eccf1498e713a282117be6e76b35dc,completed,completed,2026-07-16T19:44:40.215422+00:00,2026-07-16T19:44:41.682549+00:00,1.4618640600001527,outputs/batches/markets_matched_origins_direct_h20/runs/wig20__naive_persistence__indicators__seed2026/artifacts/20260716_194440_285285
