fold,forecast_origin,forecast_end,train_samples,validation_samples,train_target_start,train_target_end,validation_target_start,validation_target_end,target_date,horizon_step
0,2022-07-26T00:00:00,2022-08-23T00:00:00,4581,982,2000-05-05T00:00:00,2018-08-09T00:00:00,2018-08-10T00:00:00,2022-07-26T00:00:00,2022-08-23T00:00:00,20
1,2022-08-23T00:00:00,2022-09-21T00:00:00,4601,982,2000-05-05T00:00:00,2018-09-13T00:00:00,2018-09-14T00:00:00,2022-08-23T00:00:00,2022-09-21T00:00:00,20
2,2022-09-21T00:00:00,2022-10-19T00:00:00,4621,982,2000-05-05T00:00:00,2018-10-11T00:00:00,2018-10-12T00:00:00,2022-09-21T00:00:00,2022-10-19T00:00:00,20
3,2022-10-19T00:00:00,2022-11-16T00:00:00,4641,982,2000-05-05T00:00:00,2018-11-09T00:00:00,2018-11-12T00:00:00,2022-10-19T00:00:00,2022-11-16T00:00:00,20
4,2022-11-16T00:00:00,2022-12-14T00:00:00,4661,982,2000-05-05T00:00:00,2018-12-07T00:00:00,2018-12-10T00:00:00,2022-11-16T00:00:00,2022-12-14T00:00:00,20
5,2022-12-14T00:00:00,2023-01-11T00:00:00,4681,982,2000-05-05T00:00:00,2019-01-08T00:00:00,2019-01-09T00:00:00,2022-12-14T00:00:00,2023-01-11T00:00:00,20
6,2023-01-11T00:00:00,2023-02-08T00:00:00,4701,982,2000-05-05T00:00:00,2019-02-05T00:00:00,2019-02-06T00:00:00,2023-01-11T00:00:00,2023-02-08T00:00:00,20
7,2023-02-08T00:00:00,2023-03-14T00:00:00,4721,982,2000-05-05T00:00:00,2019-03-05T00:00:00,2019-03-06T00:00:00,2023-02-08T00:00:00,2023-03-14T00:00:00,20
8,2023-03-14T00:00:00,2023-04-11T00:00:00,4741,982,2000-05-05T00:00:00,2019-04-02T00:00:00,2019-04-03T00:00:00,2023-03-14T00:00:00,2023-04-11T00:00:00,20
9,2023-04-11T00:00:00,2023-05-11T00:00:00,4761,982,2000-05-05T00:00:00,2019-05-02T00:00:00,2019-05-03T00:00:00,2023-04-11T00:00:00,2023-05-11T00:00:00,20
10,2023-05-11T00:00:00,2023-06-09T00:00:00,4781,982,2000-05-05T00:00:00,2019-05-30T00:00:00,2019-05-31T00:00:00,2023-05-11T00:00:00,2023-06-09T00:00:00,20
11,2023-06-09T00:00:00,2023-07-12T00:00:00,4801,982,2000-05-05T00:00:00,2019-07-02T00:00:00,2019-07-03T00:00:00,2023-06-09T00:00:00,2023-07-12T00:00:00,20
12,2023-07-12T00:00:00,2023-08-09T00:00:00,4821,982,2000-05-05T00:00:00,2019-07-31T00:00:00,2019-08-01T00:00:00,2023-07-12T00:00:00,2023-08-09T00:00:00,20
13,2023-08-09T00:00:00,2023-09-07T00:00:00,4841,982,2000-05-05T00:00:00,2019-09-03T00:00:00,2019-09-04T00:00:00,2023-08-09T00:00:00,2023-09-07T00:00:00,20
14,2023-09-07T00:00:00,2023-10-05T00:00:00,4861,982,2000-05-05T00:00:00,2019-10-01T00:00:00,2019-10-02T00:00:00,2023-09-07T00:00:00,2023-10-05T00:00:00,20
