fold,forecast_origin,forecast_end,train_samples,validation_samples,train_target_start,train_target_end,validation_target_start,validation_target_end,target_date,horizon_step
0,2023-07-14T00:00:00,2023-08-11T00:00:00,3439,737,2006-11-02T00:00:00,2020-08-06T00:00:00,2020-08-07T00:00:00,2023-07-14T00:00:00,2023-08-11T00:00:00,20
1,2023-08-11T00:00:00,2023-09-11T00:00:00,3459,737,2006-11-02T00:00:00,2020-09-03T00:00:00,2020-09-04T00:00:00,2023-08-11T00:00:00,2023-09-11T00:00:00,20
2,2023-09-11T00:00:00,2023-10-09T00:00:00,3479,737,2006-11-02T00:00:00,2020-10-01T00:00:00,2020-10-02T00:00:00,2023-09-11T00:00:00,2023-10-09T00:00:00,20
3,2023-10-09T00:00:00,2023-11-07T00:00:00,3499,737,2006-11-02T00:00:00,2020-10-29T00:00:00,2020-10-30T00:00:00,2023-10-09T00:00:00,2023-11-07T00:00:00,20
4,2023-11-07T00:00:00,2023-12-05T00:00:00,3519,737,2006-11-02T00:00:00,2020-11-27T00:00:00,2020-11-30T00:00:00,2023-11-07T00:00:00,2023-12-05T00:00:00,20
5,2023-12-05T00:00:00,2024-01-05T00:00:00,3539,737,2006-11-02T00:00:00,2020-12-29T00:00:00,2020-12-30T00:00:00,2023-12-05T00:00:00,2024-01-05T00:00:00,20
6,2024-01-05T00:00:00,2024-02-02T00:00:00,3559,737,2006-11-02T00:00:00,2021-01-29T00:00:00,2021-02-01T00:00:00,2024-01-05T00:00:00,2024-02-02T00:00:00,20
7,2024-02-02T00:00:00,2024-03-01T00:00:00,3579,737,2006-11-02T00:00:00,2021-02-26T00:00:00,2021-03-01T00:00:00,2024-02-02T00:00:00,2024-03-01T00:00:00,20
8,2024-03-01T00:00:00,2024-04-02T00:00:00,3599,737,2006-11-02T00:00:00,2021-03-26T00:00:00,2021-03-29T00:00:00,2024-03-01T00:00:00,2024-04-02T00:00:00,20
9,2024-04-02T00:00:00,2024-04-30T00:00:00,3619,737,2006-11-02T00:00:00,2021-04-27T00:00:00,2021-04-28T00:00:00,2024-04-02T00:00:00,2024-04-30T00:00:00,20
