feature_set,model,combinations,complete_combinations,incomplete_combinations,failed_combinations,planned_runs,completed_runs,failed_runs,divergence_count,mean_price_rmse_rank,std_price_rmse_rank,mean_ratio_to_persistence,runs
close,naive_persistence,3,3,0,0,15,15,0,0,2.2,1.6561573424216502,1.0,15
close,lstm_gru,3,3,0,0,15,15,0,0,3.0,1.1952286093343938,1.0425648263604486,15
close,mlp,3,3,0,0,15,15,0,0,3.4,1.1212238211627763,1.2222299527750116,15
close,dnfs,3,3,0,0,15,15,0,0,3.6,1.7237832147426693,1.0456700716996705,15
close,linear_regression,3,3,0,0,15,15,0,0,4.2,1.9712215212183244,1.3487735503299334,15
close,cnn1d,3,3,0,0,15,15,0,0,4.6,1.594633858557237,1.8187385290255667,15
indicators,naive_persistence,3,3,0,0,15,15,0,0,1.8,1.2649110640673518,1.0,15
indicators,cnn1d,3,3,0,0,15,15,0,0,3.066666666666667,1.6242214252050848,1.7591556186432087,15
indicators,dnfs,3,3,0,0,15,15,0,0,3.1333333333333333,1.8464895909600494,1.0393844414389666,15
indicators,lstm_gru,3,3,0,0,15,15,0,0,3.466666666666667,0.833809387832792,1.0596739631888157,15
indicators,mlp,3,3,0,0,15,15,0,0,3.933333333333333,1.2798809468443688,1.6853875948152568,15
indicators,linear_regression,3,3,0,0,15,15,0,0,5.6,0.632455532033676,2.015315286078557,15
