run_id,market,model,feature_set,seed,config_sha256,aligned_warmup_rows,matched_plan_path
wig20__naive_persistence__close__seed1,wig20,naive_persistence,close,1,35eca10aad6529869e0cdd643f01538842c463e8f68abcbf70ca442cec7d5483,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv
wig20__naive_persistence__close__seed7,wig20,naive_persistence,close,7,ff14f2cc864bb73f13fd4b5e7790524d5636cf41eeea1861cfe573d4c7da51c5,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv
wig20__naive_persistence__close__seed42,wig20,naive_persistence,close,42,1b85787f394cf72c51c3f69ac47bc14b7076011ce50e88554fe7212e95560a4f,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv
wig20__naive_persistence__close__seed123,wig20,naive_persistence,close,123,7b973a683d68021cd382cd39ce4edadf5dc1713d636e485216d438c8c98a89fa,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv
wig20__naive_persistence__close__seed2026,wig20,naive_persistence,close,2026,76044f932b6033eb9d60449c4402d4808bf85a5f2ee10dda4a228583f9b532c4,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv
wig20__naive_persistence__indicators__seed1,wig20,naive_persistence,indicators,1,cc8d914ba7fe6ae2e2dbb0679a81511529a7773c90c4870854bc51bc7287aa15,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv
wig20__naive_persistence__indicators__seed7,wig20,naive_persistence,indicators,7,ec10bf2415a8f0b85fa0b682ef7c2975495ab5daf8a9e2e47d058ab858931917,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv
wig20__naive_persistence__indicators__seed42,wig20,naive_persistence,indicators,42,88b01df79ed8933c5283790aac34351341bbe489629f52b7706019ec8957d042,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv
wig20__naive_persistence__indicators__seed123,wig20,naive_persistence,indicators,123,0db166f2a79e1ace2f016f40a201f92370258b7c61f428e58876ff51fd5c56c0,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv
wig20__naive_persistence__indicators__seed2026,wig20,naive_persistence,indicators,2026,3788d9f65d287defc63327db34bb2b662d404f82b2e580a2e4095dd721104184,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv
wig20__linear_regression__close__seed1,wig20,linear_regression,close,1,2bbac6e2e1c7d2bace055668549b0301e86d3ad270e3d4747c7ec96e2a9a18b9,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv
wig20__linear_regression__close__seed7,wig20,linear_regression,close,7,e06ca1296469f19afca3cdb771d86888234708e953eb3cde98f6676f4ca8ccf0,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv
wig20__linear_regression__close__seed42,wig20,linear_regression,close,42,ecaaa319d8177af0a57be83a9b5e83ae2bf98edea4e8d8182d5bb0728bc5ee31,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv
wig20__linear_regression__close__seed123,wig20,linear_regression,close,123,c6046acb035e6dd14f98ec7211e0540920c3c6e7bed08fd120ea91b363b14e05,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv
wig20__linear_regression__close__seed2026,wig20,linear_regression,close,2026,435014ee51e0a1cad0d944c556172629a8e4b75c2fc6dc3163de61502da78d10,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv
wig20__linear_regression__indicators__seed1,wig20,linear_regression,indicators,1,cc17d8f48eb188cf2c5249efee4ada4501f008c58410e42d68851eb5d183ac7c,33,outputs/batches/markets_matched_origins_direct_h20/matched_origins/wig20_plan.csv
