model,horizon_step,forecast_count,mae,rmse,mape,r2,price_mae,price_rmse,price_mape,price_r2,run_id,market,feature_set,seed,artifact_dir,persistence_price_rmse,price_rmse_ratio_to_persistence
cnn1d,1,50,0.0148868028755767,0.0216947882546483,175.00885252578954,-0.1217458246957816,122.45681091595992,166.5496046935773,1.4768121582952198,0.9969509919841169,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260716_154038_060787,146.9388811494616,1.1334617726139367
dnfs,1,50,0.0140266319955479,0.0202645397521587,112.73395774863036,0.0212830284212446,114.25118158936183,147.68641790686962,1.396880067673085,0.9976025339411844,bist100__dnfs__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_recursive_h20/runs/bist100__dnfs__close__seed1/artifacts/20260716_171111_950630,146.9388811494616,1.0050873992748568
linear_regression,1,50,0.0232199052543115,0.0324596525527164,420.40501225015214,-1.511142532646892,201.8269398469563,289.22400844179015,2.304667912180343,0.9908052476745192,bist100__linear_regression__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_recursive_h20/runs/bist100__linear_regression__close__seed1/artifacts/20260716_153902_859768,146.9388811494616,1.9683286423530109
lstm_gru,1,50,0.0141187608287982,0.0204175088567881,113.35071805668278,0.0064513544812626,114.23358413380032,148.0481303120803,1.4041105184179548,0.9975907758501124,bist100__lstm_gru__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_recursive_h20/runs/bist100__lstm_gru__close__seed1/artifacts/20260716_163512_977476,146.9388811494616,1.0075490513738867
mlp,1,50,0.0153795032070925,0.0212949603888677,186.69585742184904,-0.0807800101190467,126.81388367317015,158.79653314884882,1.5315077339892558,0.997228254270943,bist100__mlp__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_recursive_h20/runs/bist100__mlp__close__seed1/artifacts/20260716_160558_542294,146.9388811494616,1.0806978514238583
naive_persistence,1,50,0.0141041523699227,0.0205060815810273,100.0,-0.0021875239483637,113.4359375,146.9388811494616,1.4021105154415183,0.9976267427790824,bist100__naive_persistence__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_recursive_h20/runs/bist100__naive_persistence__close__seed1/artifacts/20260716_153546_576877,146.9388811494616,1.0
cnn1d,2,50,0.0227193517258732,0.033543553431033,276.25896619362794,-0.4324522938868458,190.2344847661777,284.42401497086286,2.25424758791575,0.9911326749982232,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260716_154038_060787,224.9830135517745,1.2642021745584335
dnfs,2,50,0.020629029782736,0.0284638398240174,115.84886775593009,-0.0314519603556202,174.30313812298516,233.33867810694036,2.068711351687593,0.9940319346860078,bist100__dnfs__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_recursive_h20/runs/bist100__dnfs__close__seed1/artifacts/20260716_171111_950630,224.9830135517745,1.0371390907395905
linear_regression,2,50,0.0282372745117578,0.0391093619718874,559.9166256862894,-0.9472579871385404,241.40133415826585,328.11944357006854,2.79897940714878,0.9881988580649552,bist100__linear_regression__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_recursive_h20/runs/bist100__linear_regression__close__seed1/artifacts/20260716_153902_859768,224.9830135517745,1.4584187418867498
lstm_gru,2,50,0.0197153283049278,0.0278187959516206,104.7172919804806,0.0147675897373864,162.72478979949108,224.05970406258763,1.970728112960924,0.9944971507311864,bist100__lstm_gru__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_recursive_h20/runs/bist100__lstm_gru__close__seed1/artifacts/20260716_163512_977476,224.9830135517745,0.9958960924444441
