usable_index,date
0,2000-02-21
1,2000-02-22
2,2000-02-23
3,2000-02-24
4,2000-02-25
5,2000-02-28
6,2000-02-29
7,2000-03-01
8,2000-03-02
9,2000-03-03
10,2000-03-06
11,2000-03-07
12,2000-03-08
13,2000-03-09
14,2000-03-10
15,2000-03-20
16,2000-03-21
17,2000-03-22
18,2000-03-23
19,2000-03-24
20,2000-03-27
21,2000-03-28
22,2000-03-29
23,2000-03-30
24,2000-03-31
25,2000-04-03
26,2000-04-04
27,2000-04-05
28,2000-04-06
29,2000-04-07
30,2000-04-10
31,2000-04-11
32,2000-04-12
33,2000-04-13
34,2000-04-14
35,2000-04-17
36,2000-04-18
37,2000-04-19
38,2000-04-20
39,2000-04-21
40,2000-04-24
41,2000-04-25
42,2000-04-26
43,2000-04-27
44,2000-04-28
45,2000-05-01
46,2000-05-02
47,2000-05-03
48,2000-05-04
49,2000-05-05
50,2000-05-08
51,2000-05-09
52,2000-05-10
53,2000-05-11
54,2000-05-12
55,2000-05-15
56,2000-05-16
57,2000-05-17
58,2000-05-18
59,2000-05-22
60,2000-05-23
61,2000-05-24
62,2000-05-25
63,2000-05-26
64,2000-05-29
65,2000-05-30
66,2000-05-31
67,2000-06-01
68,2000-06-02
69,2000-06-05
70,2000-06-06
71,2000-06-07
72,2000-06-08
73,2000-06-09
74,2000-06-12
75,2000-06-13
76,2000-06-14
77,2000-06-15
78,2000-06-16
79,2000-06-19
80,2000-06-20
81,2000-06-21
82,2000-06-22
83,2000-06-23
84,2000-06-26
85,2000-06-27
86,2000-06-28
87,2000-06-29
88,2000-06-30
89,2000-07-03
90,2000-07-04
91,2000-07-05
92,2000-07-06
93,2000-07-07
94,2000-07-10
95,2000-07-11
96,2000-07-12
97,2000-07-13
98,2000-07-14
99,2000-07-17
100,2000-07-18
101,2000-07-19
102,2000-07-20
103,2000-07-21
104,2000-07-24
105,2000-07-25
106,2000-07-26
107,2000-07-27
108,2000-07-28
109,2000-07-31
110,2000-08-01
111,2000-08-02
112,2000-08-03
113,2000-08-04
114,2000-08-07
115,2000-08-08
116,2000-08-09
117,2000-08-10
118,2000-08-11
119,2000-08-14
120,2000-08-15
121,2000-08-16
122,2000-08-17
123,2000-08-18
124,2000-08-21
125,2000-08-22
126,2000-08-23
127,2000-08-24
128,2000-08-25
129,2000-08-28
130,2000-08-29
131,2000-08-31
132,2000-09-01
133,2000-09-04
134,2000-09-05
135,2000-09-06
136,2000-09-07
137,2000-09-08
138,2000-09-11
139,2000-09-12
140,2000-09-13
141,2000-09-14
142,2000-09-15
143,2000-09-18
144,2000-09-19
145,2000-09-20
146,2000-09-21
147,2000-09-22
148,2000-09-25
149,2000-09-26
150,2000-09-27
151,2000-09-28
152,2000-09-29
153,2000-10-02
154,2000-10-03
155,2000-10-04
156,2000-10-05
157,2000-10-06
158,2000-10-09
159,2000-10-10
160,2000-10-11
161,2000-10-12
162,2000-10-13
163,2000-10-16
164,2000-10-17
165,2000-10-18
166,2000-10-19
167,2000-10-20
168,2000-10-23
169,2000-10-24
170,2000-10-25
171,2000-10-26
172,2000-10-27
173,2000-10-30
174,2000-10-31
175,2000-11-01
176,2000-11-02
177,2000-11-03
178,2000-11-06
179,2000-11-07
180,2000-11-08
181,2000-11-09
182,2000-11-10
183,2000-11-13
184,2000-11-14
185,2000-11-15
186,2000-11-16
187,2000-11-17
188,2000-11-20
189,2000-11-21
190,2000-11-22
191,2000-11-23
192,2000-11-24
193,2000-11-27
194,2000-11-28
195,2000-11-29
196,2000-11-30
197,2000-12-01
198,2000-12-04
199,2000-12-05
200,2000-12-06
201,2000-12-07
202,2000-12-08
203,2000-12-11
204,2000-12-12
205,2000-12-13
206,2000-12-14
207,2000-12-15
208,2000-12-18
209,2000-12-19
210,2000-12-20
211,2000-12-21
212,2000-12-22
213,2001-01-02
214,2001-01-03
215,2001-01-04
216,2001-01-05
217,2001-01-08
218,2001-01-09
219,2001-01-10
220,2001-01-11
221,2001-01-12
222,2001-01-15
223,2001-01-16
224,2001-01-17
225,2001-01-18
226,2001-01-19
227,2001-01-22
228,2001-01-23
229,2001-01-24
230,2001-01-25
231,2001-01-26
232,2001-01-29
233,2001-01-30
234,2001-01-31
235,2001-02-01
236,2001-02-02
237,2001-02-05
238,2001-02-06
239,2001-02-07
240,2001-02-08
241,2001-02-09
242,2001-02-12
243,2001-02-13
244,2001-02-14
245,2001-02-15
246,2001-02-16
247,2001-02-19
248,2001-02-20
249,2001-02-21
250,2001-02-22
251,2001-02-23
252,2001-02-26
253,2001-02-27
254,2001-02-28
255,2001-03-01
256,2001-03-02
257,2001-03-12
258,2001-03-13
259,2001-03-14
260,2001-03-15
261,2001-03-16
262,2001-03-19
263,2001-03-20
264,2001-03-21
265,2001-03-22
266,2001-03-23
267,2001-03-26
268,2001-03-27
269,2001-03-28
270,2001-03-29
271,2001-03-30
272,2001-04-02
273,2001-04-03
274,2001-04-04
275,2001-04-05
276,2001-04-06
277,2001-04-09
278,2001-04-10
279,2001-04-11
280,2001-04-12
281,2001-04-13
282,2001-04-16
283,2001-04-17
284,2001-04-18
285,2001-04-19
286,2001-04-20
287,2001-04-24
288,2001-04-25
289,2001-04-26
290,2001-04-27
291,2001-04-30
292,2001-05-01
293,2001-05-02
294,2001-05-03
295,2001-05-04
296,2001-05-07
297,2001-05-08
298,2001-05-09
299,2001-05-10
300,2001-05-11
301,2001-05-14
302,2001-05-15
303,2001-05-16
304,2001-05-17
305,2001-05-18
306,2001-05-21
307,2001-05-22
308,2001-05-23
309,2001-05-24
310,2001-05-25
311,2001-05-28
312,2001-05-29
313,2001-05-30
314,2001-05-31
315,2001-06-01
316,2001-06-04
317,2001-06-05
318,2001-06-06
319,2001-06-07
320,2001-06-08
321,2001-06-11
322,2001-06-12
323,2001-06-13
324,2001-06-14
325,2001-06-15
326,2001-06-18
327,2001-06-19
328,2001-06-20
329,2001-06-21
330,2001-06-22
331,2001-06-25
332,2001-06-26
333,2001-06-27
334,2001-06-28
335,2001-06-29
336,2001-07-02
337,2001-07-03
338,2001-07-04
339,2001-07-05
340,2001-07-06
341,2001-07-09
342,2001-07-10
343,2001-07-11
344,2001-07-12
345,2001-07-13
346,2001-07-16
347,2001-07-17
348,2001-07-18
349,2001-07-19
350,2001-07-20
351,2001-07-23
352,2001-07-24
353,2001-07-25
354,2001-07-26
355,2001-07-27
356,2001-07-30
357,2001-07-31
358,2001-08-01
359,2001-08-02
360,2001-08-03
361,2001-08-06
362,2001-08-07
363,2001-08-08
364,2001-08-09
365,2001-08-10
366,2001-08-13
367,2001-08-14
368,2001-08-15
369,2001-08-16
370,2001-08-17
371,2001-08-20
372,2001-08-21
373,2001-08-22
374,2001-08-23
375,2001-08-24
376,2001-08-27
377,2001-08-28
378,2001-08-29
379,2001-08-31
380,2001-09-03
381,2001-09-04
382,2001-09-05
383,2001-09-06
384,2001-09-07
385,2001-09-10
386,2001-09-11
387,2001-09-13
388,2001-09-14
389,2001-09-17
390,2001-09-18
391,2001-09-19
392,2001-09-20
393,2001-09-21
394,2001-09-24
395,2001-09-25
396,2001-09-26
397,2001-09-27
398,2001-09-28
399,2001-10-01
400,2001-10-02
401,2001-10-03
402,2001-10-04
403,2001-10-05
404,2001-10-08
405,2001-10-09
406,2001-10-10
407,2001-10-11
408,2001-10-12
409,2001-10-15
410,2001-10-16
411,2001-10-17
412,2001-10-18
413,2001-10-19
414,2001-10-22
415,2001-10-23
416,2001-10-24
417,2001-10-25
418,2001-10-26
419,2001-10-30
420,2001-10-31
421,2001-11-01
422,2001-11-02
423,2001-11-05
424,2001-11-06
425,2001-11-07
426,2001-11-08
427,2001-11-09
428,2001-11-12
429,2001-11-13
430,2001-11-14
431,2001-11-15
432,2001-11-16
433,2001-11-19
434,2001-11-20
435,2001-11-21
436,2001-11-22
437,2001-11-23
438,2001-11-26
439,2001-11-27
440,2001-11-28
441,2001-11-29
442,2001-11-30
443,2001-12-03
444,2001-12-04
445,2001-12-05
446,2001-12-06
447,2001-12-07
448,2001-12-10
449,2001-12-11
450,2001-12-12
451,2001-12-13
452,2001-12-14
453,2001-12-19
454,2001-12-20
455,2001-12-21
456,2001-12-24
457,2001-12-25
458,2001-12-26
459,2001-12-27
460,2001-12-28
461,2002-01-02
462,2002-01-03
463,2002-01-07
464,2002-01-08
465,2002-01-09
466,2002-01-10
467,2002-01-11
468,2002-01-14
469,2002-01-15
470,2002-01-16
471,2002-01-17
472,2002-01-18
473,2002-01-21
474,2002-01-22
475,2002-01-23
