usable_index,date
0,2006-08-24
1,2006-08-25
2,2006-08-28
3,2006-08-29
4,2006-08-30
5,2006-08-31
6,2006-09-01
7,2006-09-04
8,2006-09-05
9,2006-09-06
10,2006-09-07
11,2006-09-08
12,2006-09-11
13,2006-09-12
14,2006-09-13
15,2006-09-14
16,2006-09-15
17,2006-09-18
18,2006-09-19
19,2006-09-20
20,2006-09-21
21,2006-09-22
22,2006-09-25
23,2006-09-26
24,2006-09-27
25,2006-09-28
26,2006-09-29
27,2006-10-02
28,2006-10-03
29,2006-10-04
30,2006-10-05
31,2006-10-06
32,2006-10-09
33,2006-10-10
34,2006-10-11
35,2006-10-12
36,2006-10-13
37,2006-10-16
38,2006-10-17
39,2006-10-18
40,2006-10-19
41,2006-10-20
42,2006-10-23
43,2006-10-24
44,2006-10-25
45,2006-10-26
46,2006-10-27
47,2006-10-30
48,2006-10-31
49,2006-11-02
50,2006-11-03
51,2006-11-06
52,2006-11-07
53,2006-11-08
54,2006-11-09
55,2006-11-10
56,2006-11-13
57,2006-11-14
58,2006-11-15
59,2006-11-16
60,2006-11-17
61,2006-11-20
62,2006-11-21
63,2006-11-22
64,2006-11-23
65,2006-11-24
66,2006-11-27
67,2006-11-28
68,2006-11-29
69,2006-11-30
70,2006-12-01
71,2006-12-04
72,2006-12-05
73,2006-12-06
74,2006-12-07
75,2006-12-08
76,2006-12-11
77,2006-12-12
78,2006-12-13
79,2006-12-14
80,2006-12-15
81,2006-12-18
82,2006-12-19
83,2006-12-20
84,2006-12-21
85,2006-12-22
86,2006-12-27
87,2006-12-28
88,2006-12-29
89,2007-01-02
90,2007-01-03
91,2007-01-04
92,2007-01-05
93,2007-01-08
94,2007-01-09
95,2007-01-10
96,2007-01-11
97,2007-01-12
98,2007-01-15
99,2007-01-16
100,2007-01-17
101,2007-01-18
102,2007-01-19
103,2007-01-22
104,2007-01-23
105,2007-01-24
106,2007-01-25
107,2007-01-26
108,2007-01-29
109,2007-01-30
110,2007-01-31
111,2007-02-01
112,2007-02-02
113,2007-02-05
114,2007-02-06
115,2007-02-07
116,2007-02-08
117,2007-02-09
118,2007-02-12
119,2007-02-13
120,2007-02-14
121,2007-02-15
122,2007-02-16
123,2007-02-19
124,2007-02-20
125,2007-02-21
126,2007-02-22
127,2007-02-23
128,2007-02-26
129,2007-02-27
130,2007-02-28
131,2007-03-01
132,2007-03-02
133,2007-03-05
134,2007-03-06
135,2007-03-07
136,2007-03-08
137,2007-03-09
138,2007-03-12
139,2007-03-13
140,2007-03-14
141,2007-03-15
142,2007-03-16
