feature_set,model,combinations,complete_combinations,incomplete_combinations,failed_combinations,planned_runs,completed_runs,failed_runs,divergence_count,mean_price_rmse_rank,std_price_rmse_rank,mean_ratio_to_persistence,runs
close,naive_persistence,3,3,0,0,15,15,0,0,2.066666666666667,1.2798809468443688,1.0,15
close,lstm_gru,3,3,0,0,15,15,0,0,2.4,0.9856107606091623,1.0130071057594274,15
close,mlp,3,3,0,0,15,15,0,0,3.8,1.3201731488169053,1.0943812600440623,15
close,dnfs,3,3,0,0,15,15,0,0,3.8666666666666667,1.5976172734359606,1.0451755630470376,15
close,linear_regression,3,3,0,0,15,15,0,0,4.2,2.2424476423255526,2.0738793223525964,15
close,cnn1d,3,3,0,0,15,15,0,0,4.666666666666667,1.0465362369445672,1.3398995222346421,15
indicators,naive_persistence,3,3,0,0,15,15,0,0,2.1333333333333333,1.5976172734359606,1.0,15
indicators,lstm_gru,3,3,0,0,15,15,0,0,2.466666666666667,0.833809387832792,1.0164272166744184,15
indicators,cnn1d,3,3,0,0,15,15,0,0,3.066666666666667,1.751190071541826,1.3015328131753492,15
indicators,mlp,3,3,0,0,15,15,0,0,3.8666666666666667,1.1872336794093274,1.1742495314375674,15
indicators,dnfs,3,3,0,0,15,15,0,0,4.0,1.6035674514745464,1.0341390503438253,15
indicators,linear_regression,3,2,0,1,15,10,5,5,5.2,0.7888106377466154,1.038156979341774,10
