run_id,market,model,feature_set,seed,config_sha256,aligned_warmup_rows,matched_plan_path
wig20__naive_persistence__close__seed1,wig20,naive_persistence,close,1,b2501127f95154a11ad4a3b364684da675735576616f3afd4601a802039e5dfd,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__naive_persistence__close__seed7,wig20,naive_persistence,close,7,0785ea347580717ea94c9c36bdbe14620b07a01b82752ace25c6c23eee3a723a,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__naive_persistence__close__seed42,wig20,naive_persistence,close,42,582705d209e93d2b9077838555ab202e3c68a0e08f68331325b1303aa60268aa,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__naive_persistence__close__seed123,wig20,naive_persistence,close,123,d0c5677b39e8891b25323b3df56636539a3a4f9aa70f805887accb58cfa3cb31,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__naive_persistence__close__seed2026,wig20,naive_persistence,close,2026,53b33f1b77c24b184933f360b2dbc57ad33e87dcc4bcc995247d842e5e80c41a,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__naive_persistence__indicators__seed1,wig20,naive_persistence,indicators,1,d84d7319cb32c36c3b1c4c2e2e3f70d389a721ab4e59ed7587e7bef25ab6b854,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__naive_persistence__indicators__seed7,wig20,naive_persistence,indicators,7,860015d499d91d5d187b8e3148524c355cf55b56008952dd5333d07996042998,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__naive_persistence__indicators__seed42,wig20,naive_persistence,indicators,42,840188eff8dc2474a5a789c7205ceb61063a2150f444432e3604c6eeb3d63124,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__naive_persistence__indicators__seed123,wig20,naive_persistence,indicators,123,f33b88412c7e6f157dc6d4898a75b8ca65b408190a2ebb422ee6198f35298187,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__naive_persistence__indicators__seed2026,wig20,naive_persistence,indicators,2026,649dca42824f9f29430ffb354c7b8d9154ea21dd37eb0de7806a778851881b60,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__linear_regression__close__seed1,wig20,linear_regression,close,1,3f387783fa2e8eae9654fbee229cfbf57413314006b83276323c122c7934d8ba,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__linear_regression__close__seed7,wig20,linear_regression,close,7,b170f04a785bae59d34a0714d0a22e3c599009bf2afd4470b0de8d9d19833585,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__linear_regression__close__seed42,wig20,linear_regression,close,42,91198719260faf499aba6ab687da9a274f300009c36bf46db5e59a8be58d5ac3,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__linear_regression__close__seed123,wig20,linear_regression,close,123,adb4d830346bf32953e60396fd9fb0578e88d98ba10ed315941a32d63c0566dd,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__linear_regression__close__seed2026,wig20,linear_regression,close,2026,3602213eb9cbf7cc8a0f5f9dbc82b6ebf81fbb34d66df35644f68af35b0f542f,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__linear_regression__indicators__seed1,wig20,linear_regression,indicators,1,0a0666b49ae32ecc735706d9445756d6024e1e9c1ddd58039c6411229d7c60c4,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__linear_regression__indicators__seed7,wig20,linear_regression,indicators,7,735613fad8605ade09491ad8908ccb859b381d1b3951bbb5dce3271a9b3e905d,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__linear_regression__indicators__seed42,wig20,linear_regression,indicators,42,9a94eb0a8e35aed0edd770303ac74226e4dca756c771752bb2b163f5a97f0f25,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__linear_regression__indicators__seed123,wig20,linear_regression,indicators,123,ed7cc0b225d0c9f1f928e7478ed26a0ae1b63a91694b4bb23f16e71514f63e1b,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__linear_regression__indicators__seed2026,wig20,linear_regression,indicators,2026,70b03c6c7f48aadb118a2b19f4aa326b6b79e7ca2e947e5f28395df7c5fa7382,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__cnn1d__close__seed1,wig20,cnn1d,close,1,1136544eba9238740ac85c732ba50b4bf91ecd4b9cbc81c7ec4dec69c733ad16,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__cnn1d__close__seed7,wig20,cnn1d,close,7,ddbfd3a68459d206433bef9a51a7f1d62556709b04e15d3eddd5c814aff6fc46,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__cnn1d__close__seed42,wig20,cnn1d,close,42,3b3688b9a09ba0e41b880cd9fc3942d83ac1010832129befb0c14ef58308f02a,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__cnn1d__close__seed123,wig20,cnn1d,close,123,e7b44afd16d9aec021e387b4946fe5dae71af4ec99fb93db4087f2ef037e05d5,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__cnn1d__close__seed2026,wig20,cnn1d,close,2026,ba4caceafb1c69a80cc6c42b112152858c5c5495990d76fd0d778606400015c4,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__cnn1d__indicators__seed1,wig20,cnn1d,indicators,1,fa0555f13a1d694a097bb1463bffa09ee9da4f6e2ff6d4cbc7f21a65efabae90,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__cnn1d__indicators__seed7,wig20,cnn1d,indicators,7,d20c56a549c25ee1a33cf2ad48c8c6fa38832f0514f39043345735f7ea54040d,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__cnn1d__indicators__seed42,wig20,cnn1d,indicators,42,0d5b6830e2fc311f2e7e20d4e68af6398809ddca4308c9cc910151e90f472965,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__cnn1d__indicators__seed123,wig20,cnn1d,indicators,123,8144d1825c6de7e557b8d0b86365b891097fe11fa3aa900dccb7cfac30a8d76d,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__cnn1d__indicators__seed2026,wig20,cnn1d,indicators,2026,57c740cd5411973d9db9c2f83406816dbb1e3ef986e2fe114a41ed26d9bffc56,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__mlp__close__seed1,wig20,mlp,close,1,23573137e3c2242d438443eca88bed5ebf1de820bcdd7cbb794ef84617843594,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__mlp__close__seed7,wig20,mlp,close,7,b9f2ad5edbd3878b2ca9a732c4dc0ac7c875ab3e15cd5ae95167a8eb3db9c0bf,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__mlp__close__seed42,wig20,mlp,close,42,1bb23afd2027aa7f66f8ceb962f146811796dcf63c0ed964965517f9297882d6,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__mlp__close__seed123,wig20,mlp,close,123,70d2f5be2b0dd045839098b2c4096fbb5b2c73baebc30c3b66a6f0938b69e1b2,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__mlp__close__seed2026,wig20,mlp,close,2026,2db7a8d6bbc8dc0aceefd7adf76473d96471b9634f46f2da679aa4bcf42327e7,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__mlp__indicators__seed1,wig20,mlp,indicators,1,c4d265b256a290defce9824a6f8ed265912dc0a601f6e751a0c7dccc2b431ac4,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__mlp__indicators__seed7,wig20,mlp,indicators,7,24ddd70545117d926643ab1871cab6a634df45a0d2f71472a5f19fa2f8e37dbb,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__mlp__indicators__seed42,wig20,mlp,indicators,42,54876ca325372b8bde9bb1e57a5d9f2db45d7726654281d431d6374cd1db148f,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__mlp__indicators__seed123,wig20,mlp,indicators,123,2005789f4cecf28115d8620137f1a3c6456f4c240b1780b1659eb320710196b8,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__mlp__indicators__seed2026,wig20,mlp,indicators,2026,dc2555f44dcfb294f729dbd8687a78f286864d1dea90abde9166a95e6c285516,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__lstm_gru__close__seed1,wig20,lstm_gru,close,1,fcdcaa6d52ff1e0ec2feb44547172f66965b64951dedfec8b9489f7415516e43,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__lstm_gru__close__seed7,wig20,lstm_gru,close,7,7eda19d8d27f2b8ceb295103bda923717e50422569842f4a1af1aea267d81e3e,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__lstm_gru__close__seed42,wig20,lstm_gru,close,42,cafe49e31f1c620229dbe8f41f0ea6d9934c7920586598ae130da62632bc88a5,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__lstm_gru__close__seed123,wig20,lstm_gru,close,123,9fce4c4a235c80450bc873a23b7cbee1dab5f7b7539e6cb7370955031d4f0bf0,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__lstm_gru__close__seed2026,wig20,lstm_gru,close,2026,1b26f9fe806166070805e621babb18c968154441c9edde20a378f26c0730b1ad,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__lstm_gru__indicators__seed1,wig20,lstm_gru,indicators,1,c60288bd92b43c3d07efaf6134d98033a89d10591dc66e27800f5ef50ab84b55,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__lstm_gru__indicators__seed7,wig20,lstm_gru,indicators,7,a92856a9a1ca13013265d2f0c16403cc0a2e8e087e9b5da178e6002999b9d3bc,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__lstm_gru__indicators__seed42,wig20,lstm_gru,indicators,42,ae81f63aa71b97fee0e506297b5867a28a6e98a2ab988ccd359a4d78e05dff99,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__lstm_gru__indicators__seed123,wig20,lstm_gru,indicators,123,2bac0c0a1e400825f7be2c87e25879b1762ab6a61e079dea67e60b78fffb48b4,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__lstm_gru__indicators__seed2026,wig20,lstm_gru,indicators,2026,4ec26cf439c74338019eb8dd66f42c885984c911fdfd2e60c2ecfc5b095d2c5d,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__dnfs__close__seed1,wig20,dnfs,close,1,be60b2f15de97e96b36a912c09765334981f6a66db2dc6397cd3c629ebbcd87b,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__dnfs__close__seed7,wig20,dnfs,close,7,fa7aa0a0b6550f4e0c019319da34a4f23fe9c7e44150d0016d6479f4da99b50f,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__dnfs__close__seed42,wig20,dnfs,close,42,e7fb0a6cd3355cf4a79ab9a497481381fb7cec22f0ddfe7daf39438a9e51adc3,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
wig20__dnfs__close__seed123,wig20,dnfs,close,123,1a9ee311cba52b080c622275032e2d5c8f3d15a25ad6c6815a7266bef9d289ef,33,outputs/batches/markets_matched_origins_recursive_h20/matched_origins/wig20_plan.csv
