model,fold,mae,rmse,mape,r2,price_mae,price_rmse,price_mape,price_r2,run_id,market,feature_set,seed,artifact_dir
cnn1d,0,0.0874696412588704,0.1017905456627671,80.53176556421178,-1.903576772754549,240.11192445591917,282.172569826425,8.251078655915983,-1.8224999452027824,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,1,0.0543707618088687,0.0681647404082934,88.19407378427503,-1.307089501905096,178.0841380393982,225.17749982064225,5.2144394817446855,-1.2754132973316907,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,2,0.0691058465132619,0.0859281931428209,94.06663692054408,-0.914733752879376,238.0330691520699,299.71384683253785,6.566590268398887,-0.906411611620472,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,3,0.1202654946112739,0.1475075533714633,589.0343798379201,-4.820095312084674,481.0676820471502,594.541280052137,11.01122015604227,-4.239211456875659,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,4,0.0202486637922002,0.0271742231774618,50.47887586183633,0.5248694577181148,99.19225110235102,132.97793173330288,2.059754037336151,0.5150261747322218,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,5,0.0463524627049604,0.0662138379124635,160.33898811997722,-1.4897135216143016,247.68988638762167,351.36013953406297,4.810876959169181,-1.5805622408243587,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,6,0.0717632044623315,0.0809356800316731,243.13468289624663,-0.93862436991435,359.88110357825803,405.8156304551242,7.076232070693619,-0.957913473687733,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,7,0.1544319325808878,0.1577557497704079,105.49516335551714,-29.97876314444231,748.0463308532895,765.9979001611645,14.265294411114526,-25.914707532843444,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,8,0.0257867148621437,0.0294018255021367,70.31120447120465,-0.7247532689950071,129.22381315992567,146.85697713021406,2.615657638781303,-0.7202716609783919,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,9,0.0319964493301454,0.0412464302369006,80.2218846442824,0.404576630464267,150.8337555970207,192.3636961554908,3.2782216730782068,0.4323458440093256,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,10,0.0678856757298794,0.0786997600161712,93.33246715915116,0.074954416162402,334.00111483093326,391.7452382189885,6.763938891725991,0.0759373362075154,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,11,0.0414352888385003,0.0536042194950413,129.98439360305414,0.3514683762935702,234.91381534640828,299.74111401742766,4.283320820532017,0.3913366520234481,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,12,0.0731339923876009,0.0878145410176342,81.37495406682834,-1.4947890952398524,497.916813853693,603.59310181809,6.942796579786117,-1.4448971469217633,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,13,0.1511973170158482,0.1777189859529911,3359.3652735389014,-30.888551431820403,1087.6910323801512,1272.242509774714,13.661342601722732,-25.33850080941449,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
cnn1d,14,0.0362751734321821,0.0434121486624176,1451.8196175045573,-1.1904707507440002,293.7423202998337,351.830350061548,3.5856646954265936,-1.1939487899969112,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309
