model,horizon_step,forecast_count,mae,rmse,mape,r2,price_mae,price_rmse,price_mape,price_r2,run_id,market,feature_set,seed,artifact_dir,persistence_price_rmse,price_rmse_ratio_to_persistence
cnn1d,1,50,0.0147266622731393,0.0211729398190166,153.45035093900427,-0.0684297112498919,118.89109626295529,154.98053538435033,1.4612254437710106,0.9973598678400678,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309,146.9388811494616,1.0547278853083755
dnfs,1,50,0.0143468956209442,0.0206266355012092,117.282167798457,-0.0140057519993717,117.23895171087334,150.9463003315439,1.4285999534703389,0.9974955273134868,bist100__dnfs__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__dnfs__close__seed1/artifacts/20260717_053210_283327,146.9388811494616,1.0272726942707975
linear_regression,1,50,0.0258845607764198,0.0339963801831316,533.5339318002929,-1.7545393761004484,226.91207053609403,298.4481321237447,2.559661153544049,0.9902094050415026,bist100__linear_regression__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__linear_regression__close__seed1/artifacts/20260717_040803_694216,146.9388811494616,2.031103883390623
lstm_gru,1,50,0.0141573795769321,0.0205197572485924,110.77516391962972,-0.0035247032180416,115.0649542582456,149.6950049171139,1.4075364810778257,0.997536877726812,bist100__lstm_gru__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__lstm_gru__close__seed1/artifacts/20260717_045814_594130,146.9388811494616,1.018756939933746
mlp,1,50,0.0158647475704288,0.021964030237996,188.74289503977263,-0.1497613254766476,131.7001691871722,168.1262964813859,1.5813855604866571,0.9968929900332936,bist100__mlp__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__mlp__close__seed1/artifacts/20260717_043237_888265,146.9388811494616,1.1441920284555123
naive_persistence,1,50,0.0141041523699227,0.0205060815810273,100.0,-0.0021875239483637,113.4359375,146.9388811494616,1.4021105154415183,0.9976267427790824,bist100__naive_persistence__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__naive_persistence__close__seed1/artifacts/20260717_040429_125015,146.9388811494616,1.0
cnn1d,2,50,0.0226070597762968,0.0313296545736433,330.5183032868572,-0.2496064123700534,185.53220204620263,254.94121104997723,2.2493984328274594,0.992875732957339,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309,224.9830135517745,1.1331575972125938
dnfs,2,50,0.020243269945955,0.0282888545965632,117.77133431171278,-0.0188089671809061,171.5243295281734,230.28114258632704,2.0286772698509195,0.994187314145633,bist100__dnfs__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__dnfs__close__seed1/artifacts/20260717_053210_283327,224.9830135517745,1.0235490179943443
linear_regression,2,50,0.0329007752845677,0.0435628761285085,756.1536742119857,-1.415989944644458,281.06502138357547,369.3809293097633,3.236887811813788,0.9850442209612148,bist100__linear_regression__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__linear_regression__close__seed1/artifacts/20260717_040803_694216,224.9830135517745,1.6418169686608766
lstm_gru,2,50,0.0203053515346908,0.0279245389567623,110.73269540251978,0.0072633512456649,168.68148101399086,225.55022329596196,2.0284113263042385,0.9944236936652904,bist100__lstm_gru__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__lstm_gru__close__seed1/artifacts/20260717_045814_594130,224.9830135517745,1.0025211225293547
mlp,2,50,0.0218306758647873,0.0308436218616927,123.2523110704095,-0.2111356062539071,187.87038408914083,257.4049301049808,2.190497901419573,0.9927373716193828,bist100__mlp__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__mlp__close__seed1/artifacts/20260717_043237_888265,224.9830135517745,1.1441082864051209
naive_persistence,2,50,0.0201830537674436,0.0280314947994574,100.0,-0.0003559206069061,168.355966796875,224.9830135517745,2.01647546600776,0.9944517047946644,bist100__naive_persistence__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__naive_persistence__close__seed1/artifacts/20260717_040429_125015,224.9830135517745,1.0
cnn1d,3,50,0.0314213880008708,0.0411302816332972,214.0054836930547,-0.6727668786181635,259.20132734251007,343.77577959873014,3.096762882484945,0.9868743514739534,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309,249.37524289957565,1.3785481493733118
dnfs,3,50,0.023408382462131,0.0319195180475339,161.1755711100114,-0.0074527919931717,193.42973737856755,253.4060725216712,2.331923785755507,0.9928681162536346,bist100__dnfs__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__dnfs__close__seed1/artifacts/20260717_053210_283327,249.37524289957565,1.0161637120639069
linear_regression,3,50,0.0503767872302355,0.062923299238433,1174.5726157759543,-2.91502938152583,452.8187834157923,585.3660132917316,4.913963663651532,0.9619438170426752,bist100__linear_regression__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__linear_regression__close__seed1/artifacts/20260717_040803_694216,249.37524289957565,2.3473300977493614
lstm_gru,3,50,0.0238209959858758,0.0326993070858878,119.74722825097808,-0.0572778987269542,194.1617181347669,258.3511468635622,2.362998084082664,0.9925870510888996,bist100__lstm_gru__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__lstm_gru__close__seed1/artifacts/20260717_045814_594130,249.37524289957565,1.0359935647966512
mlp,3,50,0.0275621262319037,0.0359538071348127,197.0346060705323,-0.2782088583281046,231.18283243710655,307.25052338421125,2.751564157733025,0.989515312705582,bist100__mlp__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__mlp__close__seed1/artifacts/20260717_043237_888265,249.37524289957565,1.2320810991969326
naive_persistence,3,50,0.0235948666960067,0.0321524764022248,100.0,-0.0222118482295146,191.6819677734375,249.37524289957565,2.3394829912572086,0.9930931998215762,bist100__naive_persistence__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__naive_persistence__close__seed1/artifacts/20260717_040429_125015,249.37524289957565,1.0
cnn1d,4,50,0.041420034043044,0.0545873347733029,1706.1283542909405,-0.9659107597679566,355.1246127847192,478.4362125713438,4.0536353120814335,0.97447854156449,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309,308.93260015257925,1.5486750583624005
dnfs,4,50,0.0297640959529671,0.0389475169342804,154.3924131378793,-0.0007821911061811,248.98685964314396,311.8740608041056,2.9651858913164304,0.9891553407282488,bist100__dnfs__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__dnfs__close__seed1/artifacts/20260717_053210_283327,308.93260015257925,1.0095213669585974
linear_regression,4,50,0.0752310826201383,0.091793631986035,2943.012521317355,-4.559108194379359,671.6478043521845,841.8684309276294,7.218991132084229,0.9209783943644728,bist100__linear_regression__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__linear_regression__close__seed1/artifacts/20260717_040803_694216,308.93260015257925,2.7250877068714585
lstm_gru,4,50,0.0299726351116103,0.0392080612091295,196.169391515742,-0.0142166919028685,249.3319170442901,315.2591421123167,2.9692854295763627,0.9889186472451538,bist100__lstm_gru__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__lstm_gru__close__seed1/artifacts/20260717_045814_594130,308.93260015257925,1.0204787126920656
mlp,4,50,0.0343944733696204,0.0425237555515474,429.5536628948115,-0.1930076945048633,296.7846323999836,369.44409560137177,3.4269204585271478,0.9847820952498152,bist100__mlp__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__mlp__close__seed1/artifacts/20260717_043237_888265,308.93260015257925,1.1958728066215945
naive_persistence,4,50,0.0300281498184576,0.0393267510304069,100.0,-0.0203664170280593,248.3779931640625,308.93260015257925,2.973918679252665,0.9893589402776118,bist100__naive_persistence__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__naive_persistence__close__seed1/artifacts/20260717_040429_125015,308.93260015257925,1.0
cnn1d,5,50,0.050421033334054,0.0651252958539834,197.7903345454988,-1.055352497452137,434.5198557835084,579.0722996619671,4.917668475655956,0.9630179279656746,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309,380.8861193904128,1.5203292275096305
dnfs,5,50,0.0366807772807713,0.045332184887645,119.727549746921,0.0041356189126927,311.56331409719047,379.6904119710132,3.6654762723893786,0.984100446820059,bist100__dnfs__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__dnfs__close__seed1/artifacts/20260717_053210_283327,380.8861193904128,0.9968607219887319
linear_regression,5,50,0.0938899532736176,0.1159724562867126,775.8138969218287,-5.517733632977024,827.9536229654084,1057.5308941396163,8.890977464204472,0.876657772910764,bist100__linear_regression__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__linear_regression__close__seed1/artifacts/20260717_040803_694216,380.8861193904128,2.7765015323533873
lstm_gru,5,50,0.0377771528290247,0.0459008421678536,122.8283942236749,-0.0210057884459573,318.748730400833,387.7619515311781,3.7483289976190894,0.9834172694588492,bist100__lstm_gru__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__lstm_gru__close__seed1/artifacts/20260717_045814_594130,380.8861193904128,1.018052199307682
mlp,5,50,0.0432061051189204,0.0519939032541502,180.1184315901433,-0.3100616696611395,379.4247393358394,472.5198495337857,4.314634789656076,0.9753755934425524,bist100__mlp__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__mlp__close__seed1/artifacts/20260717_043237_888265,380.8861193904128,1.2405803873609982
naive_persistence,5,50,0.0372241090289979,0.0459161329750177,100.0,-0.02168615082174,314.131904296875,380.8861193904128,3.6923356737599127,0.9840001485358884,bist100__naive_persistence__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__naive_persistence__close__seed1/artifacts/20260717_040429_125015,380.8861193904128,1.0
cnn1d,6,50,0.0563447883235939,0.0729392201220709,484.84151511616585,-0.845935691296265,484.09000651090463,650.7603134494348,5.532550729183026,0.9531852570391036,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309,461.8569938388536,1.4090082474240746
dnfs,6,50,0.0416646693290793,0.0534544953103261,6036.344933652627,0.0085682949290534,350.829448047537,462.45958228405294,4.208685485985368,0.9763577889975408,bist100__dnfs__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__dnfs__close__seed1/artifacts/20260717_053210_283327,461.8569938388536,1.0013047078494812
linear_regression,6,50,0.115176614811216,0.1342476029444637,8211.648040343316,-5.253273385177858,1021.0359693383684,1268.1857698484114,10.907023538368612,0.8222104317420508,bist100__linear_regression__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__linear_regression__close__seed1/artifacts/20260717_040803_694216,461.8569938388536,2.745840783545423
lstm_gru,6,50,0.0425664803120709,0.0537445528584441,3975.196270038023,-0.0022204130190699,358.07675284130806,466.92770404193794,4.264855224884481,0.975898736610168,bist100__lstm_gru__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__lstm_gru__close__seed1/artifacts/20260717_045814_594130,461.8569938388536,1.0109789616065736
mlp,6,50,0.0495967289982689,0.058482030118307,10866.775945825702,-0.1866952836091655,430.6555316443421,534.4975978857259,4.988024610672054,0.968418551927555,bist100__mlp__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__mlp__close__seed1/artifacts/20260717_043237_888265,461.8569938388536,1.157279428515523
naive_persistence,6,50,0.041740729266333,0.0537277289092737,100.0,-0.0015930502335745,350.1191748046875,461.8569938388536,4.183468170962058,0.9764193608280272,bist100__naive_persistence__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__naive_persistence__close__seed1/artifacts/20260717_040429_125015,461.8569938388536,1.0
cnn1d,7,49,0.0583342491850941,0.0773276164973374,409.3139507465201,-0.8365727866009056,492.246396036853,674.6744682495586,5.687136892950703,0.94848088474406,bist100__cnn1d__close__seed1,bist100,close,1,outputs/batches/markets_matched_origins_rolling_recursive_h20/runs/bist100__cnn1d__close__seed1/artifacts/20260717_040906_376309,483.412655610725,1.3956491631299988
