fold,forecast_origin,forecast_end,train_samples,validation_samples,train_target_start,train_target_end,validation_target_start,validation_target_end,target_date,horizon_step
0,2022-07-26T00:00:00,2022-08-23T00:00:00,4597,985,2000-04-10T00:00:00,2018-08-06T00:00:00,2018-08-07T00:00:00,2022-07-26T00:00:00,2022-07-27T00:00:00,1
0,2022-07-26T00:00:00,2022-08-23T00:00:00,4597,985,2000-04-10T00:00:00,2018-08-06T00:00:00,2018-08-07T00:00:00,2022-07-26T00:00:00,2022-07-28T00:00:00,2
0,2022-07-26T00:00:00,2022-08-23T00:00:00,4597,985,2000-04-10T00:00:00,2018-08-06T00:00:00,2018-08-07T00:00:00,2022-07-26T00:00:00,2022-07-29T00:00:00,3
0,2022-07-26T00:00:00,2022-08-23T00:00:00,4597,985,2000-04-10T00:00:00,2018-08-06T00:00:00,2018-08-07T00:00:00,2022-07-26T00:00:00,2022-08-01T00:00:00,4
0,2022-07-26T00:00:00,2022-08-23T00:00:00,4597,985,2000-04-10T00:00:00,2018-08-06T00:00:00,2018-08-07T00:00:00,2022-07-26T00:00:00,2022-08-02T00:00:00,5
0,2022-07-26T00:00:00,2022-08-23T00:00:00,4597,985,2000-04-10T00:00:00,2018-08-06T00:00:00,2018-08-07T00:00:00,2022-07-26T00:00:00,2022-08-03T00:00:00,6
0,2022-07-26T00:00:00,2022-08-23T00:00:00,4597,985,2000-04-10T00:00:00,2018-08-06T00:00:00,2018-08-07T00:00:00,2022-07-26T00:00:00,2022-08-04T00:00:00,7
0,2022-07-26T00:00:00,2022-08-23T00:00:00,4597,985,2000-04-10T00:00:00,2018-08-06T00:00:00,2018-08-07T00:00:00,2022-07-26T00:00:00,2022-08-05T00:00:00,8
0,2022-07-26T00:00:00,2022-08-23T00:00:00,4597,985,2000-04-10T00:00:00,2018-08-06T00:00:00,2018-08-07T00:00:00,2022-07-26T00:00:00,2022-08-08T00:00:00,9
0,2022-07-26T00:00:00,2022-08-23T00:00:00,4597,985,2000-04-10T00:00:00,2018-08-06T00:00:00,2018-08-07T00:00:00,2022-07-26T00:00:00,2022-08-09T00:00:00,10
0,2022-07-26T00:00:00,2022-08-23T00:00:00,4597,985,2000-04-10T00:00:00,2018-08-06T00:00:00,2018-08-07T00:00:00,2022-07-26T00:00:00,2022-08-10T00:00:00,11
0,2022-07-26T00:00:00,2022-08-23T00:00:00,4597,985,2000-04-10T00:00:00,2018-08-06T00:00:00,2018-08-07T00:00:00,2022-07-26T00:00:00,2022-08-11T00:00:00,12
0,2022-07-26T00:00:00,2022-08-23T00:00:00,4597,985,2000-04-10T00:00:00,2018-08-06T00:00:00,2018-08-07T00:00:00,2022-07-26T00:00:00,2022-08-12T00:00:00,13
0,2022-07-26T00:00:00,2022-08-23T00:00:00,4597,985,2000-04-10T00:00:00,2018-08-06T00:00:00,2018-08-07T00:00:00,2022-07-26T00:00:00,2022-08-15T00:00:00,14
0,2022-07-26T00:00:00,2022-08-23T00:00:00,4597,985,2000-04-10T00:00:00,2018-08-06T00:00:00,2018-08-07T00:00:00,2022-07-26T00:00:00,2022-08-16T00:00:00,15
0,2022-07-26T00:00:00,2022-08-23T00:00:00,4597,985,2000-04-10T00:00:00,2018-08-06T00:00:00,2018-08-07T00:00:00,2022-07-26T00:00:00,2022-08-17T00:00:00,16
0,2022-07-26T00:00:00,2022-08-23T00:00:00,4597,985,2000-04-10T00:00:00,2018-08-06T00:00:00,2018-08-07T00:00:00,2022-07-26T00:00:00,2022-08-18T00:00:00,17
0,2022-07-26T00:00:00,2022-08-23T00:00:00,4597,985,2000-04-10T00:00:00,2018-08-06T00:00:00,2018-08-07T00:00:00,2022-07-26T00:00:00,2022-08-19T00:00:00,18
0,2022-07-26T00:00:00,2022-08-23T00:00:00,4597,985,2000-04-10T00:00:00,2018-08-06T00:00:00,2018-08-07T00:00:00,2022-07-26T00:00:00,2022-08-22T00:00:00,19
0,2022-07-26T00:00:00,2022-08-23T00:00:00,4597,985,2000-04-10T00:00:00,2018-08-06T00:00:00,2018-08-07T00:00:00,2022-07-26T00:00:00,2022-08-23T00:00:00,20
