feature_set,model,combinations,complete_combinations,incomplete_combinations,failed_combinations,planned_runs,completed_runs,failed_runs,divergence_count,mean_price_rmse_rank,std_price_rmse_rank,mean_ratio_to_persistence,runs
close,naive_persistence,3,3,0,0,15,15,0,0,1.9333333333333333,1.0997835284835873,1.0,15
close,lstm_gru,3,3,0,0,15,15,0,0,2.8,1.2649110640673515,1.0270927005702588,15
close,dnfs,3,3,0,0,15,15,0,0,3.6666666666666665,1.5430334996209192,1.0443211845041127,15
close,mlp,3,3,0,0,15,15,0,0,4.066666666666666,1.099783528483587,1.1436889228206548,15
close,cnn1d,3,3,0,0,15,15,0,0,4.2,1.2649110640673518,1.4037195266167153,15
close,linear_regression,3,3,0,0,15,15,0,0,4.333333333333333,2.439750182371333,1.9803041206253762,15
indicators,naive_persistence,3,3,0,0,15,15,0,0,2.1333333333333333,1.1872336794093272,1.0,15
indicators,lstm_gru,3,3,0,0,15,15,0,0,2.466666666666667,0.6399404734221845,1.0127100969644838,15
indicators,cnn1d,3,3,0,0,15,15,0,0,3.1333333333333333,1.8073922282301276,1.4227963946917157,15
indicators,dnfs,3,3,0,0,15,15,0,0,3.7333333333333334,1.6242214252050853,1.0385074254591922,15
indicators,mlp,3,3,0,0,15,15,0,0,3.7333333333333334,1.2798809468443688,1.247156528069877,15
indicators,linear_regression,3,2,0,1,15,10,5,5,5.7,0.6749485577105528,1.136375445791279,10
