model,fold,best_val_loss,epochs_ran,training_time_seconds,inference_time_seconds,checkpoint_path
naive_persistence,0,,0,0.0,0.0,
linear_regression,0,,0,0.0193527500086929,0.0010102480300702,
mlp,0,1.097403571009636,9,1.4787395000166723,0.0166887949453666,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/mlp/fold_0000.pt
rnn,0,1.095964938402176,9,4.510601666988805,0.0623282949673011,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/rnn/fold_0000.pt
lstm,0,1.0971905315915744,9,3.00476958299987,0.0324333760072477,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/lstm/fold_0000.pt
gru,0,1.097301408648491,12,9.507282041973667,0.0690442100167274,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/gru/fold_0000.pt
cnn1d,0,1.0965550790230434,16,2.575705499999458,0.0255486660462338,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/cnn1d/fold_0000.pt
dnfs,0,1.0995633428295453,22,3.5118436249904335,0.0268093760532792,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/dnfs/fold_0000.pt
lstm_gru,0,1.0980604737997055,14,13.313366291986313,0.0716043329739477,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/lstm_gru/fold_0000.pt
cnn_lstm,0,1.093703086177508,30,11.345295584003908,0.0254962919279932,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/cnn_lstm/fold_0000.pt
naive_persistence,1,,0,0.0,0.0,
linear_regression,1,,0,0.0095593750011175,0.0008977919933386,
mlp,1,1.0945650363961856,13,1.6900483749923296,0.0100959609844721,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/mlp/fold_0001.pt
rnn,1,1.090048958857854,15,7.60957316699205,0.0547127489116974,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/rnn/fold_0001.pt
lstm,1,1.0911173621813457,11,3.583400583011098,0.0166362500167451,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/lstm/fold_0001.pt
gru,1,1.0911183928449948,15,12.999919458001386,0.0647580009244848,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/gru/fold_0001.pt
cnn1d,1,1.089333030084769,14,2.259087374986848,0.0125300439831335,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/cnn1d/fold_0001.pt
dnfs,1,1.0953719168901443,9,1.4965863749966957,0.0145647499884944,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/dnfs/fold_0001.pt
lstm_gru,1,1.090732358396053,15,14.542732125002658,0.0694122501008678,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/lstm_gru/fold_0001.pt
cnn_lstm,1,1.0873762716849644,22,9.090924374992028,0.0239359579863958,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/cnn_lstm/fold_0001.pt
naive_persistence,2,,0,0.0,0.0,
linear_regression,2,,0,0.0091950840142089,0.0017987520550377,
mlp,2,1.0830712219079337,13,1.9018232079979496,0.0115957079688087,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/mlp/fold_0002.pt
rnn,2,1.0776158645749092,14,7.205858458008152,0.0632592089823447,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/rnn/fold_0002.pt
lstm,2,1.077587214608987,16,5.339390167006059,0.0175870840030256,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/lstm/fold_0002.pt
gru,2,1.0787974819540975,15,12.565209749998758,0.0652372100448701,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/gru/fold_0002.pt
